Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
17, LogWeight EntropyWeight, 0.0, 0, 0, CosineDistance, 1, 0.43048128, 0.66943866, 0.52400327, 0.6095138, 0.5257832, 0.65208673, 0.61563927, 56.25, -3.978085E-4, 0.7407407, 0.6099754, 0.4319384, 0.31347865, 0.23317888, 0.1776855, -0.33553216, -0.4089393, 72, 
17, LogWeight EntropyWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 0.42553192, 0.7068607, 0.53125, 0.6226525, 0.42807487, 0.64744276, 0.55128115, 56.25, -0.009305895, 0.75, 0.53927517, 0.37108397, 0.26641554, 0.1981619, 0.15177284, -0.45324957, -0.3757578, 1823, 
17, LogWeight EntropyWeight, 0.0, 0, 0, DotDistance, 1, 0.0832468, 1.0, 0.15369867, 0.18078554, 0.0059462, 0.9411765, 0.012913252, 7.291669, NaN, 0.0, 0.069625966, 0.06786886, 0.06615609, 0.06448655, 0.06285913, NaN, 0.0018257422, 2552, 
17, LogWeight EntropyWeight, 0.0, 0, 0, EllenbergDistance, 1, 0.15602295, 0.84823287, 0.26356593, 0.26915228, 0.037755053, 0.6637735, 0.08674462, 25.0, -0.062571175, 0.9166667, 0.08802738, 0.032932147, 0.012320208, 0.004609073, 0.0017242653, 1.05682026E-4, -0.23156029, 543, 
17, LogWeight EntropyWeight, 0.0, 0, 0, UnbiasedEllenbergDistance, 1, 0.14849274, 0.82952183, 0.25189394, 0.26314965, 0.082960136, 0.65523005, 0.09267178, 25.0, -0.046420034, 0.9074074, 0.0875412, 0.03256973, 0.012117554, 0.0045083645, 0.0016773366, 6.484052E-5, -0.1743985, 392, 
17, LogWeight EntropyWeight, 0.0, 0, 1, CosineDistance, 1, 0.41889763, 0.5530146, 0.4767025, 0.5679797, 0.47999978, 0.58540297, 0.55893546, 51.041664, -0.006298095, 0.7962963, 0.54783106, 0.37353495, 0.26154813, 0.18831807, 0.13951236, -0.31283057, -0.42588088, 48, 
17, LogWeight EntropyWeight, 0.0, 0, 1, ModifiedCosineDistance, 1, 0.44551283, 0.5779626, 0.50316745, 0.600161, 0.38665563, 0.6674056, 0.47143185, 54.166664, -0.005921879, 0.8333333, 0.506386, 0.34983647, 0.25205195, 0.18917823, 0.14760809, -0.4003538, -0.4286623, 2086, 
17, LogWeight EntropyWeight, 0.0, 0, 1, DotDistance, 1, 0.08411215, 0.991684, 0.15507153, 0.18234509, 0.006008011, 0.91764706, 0.01302465, 8.333331, -0.071192965, 0.0, 0.06950793, 0.067638926, 0.06582018, 0.06405034, 0.062328093, 0.02198844, 0.0011942699, 2586, 
17, LogWeight EntropyWeight, 0.0, 0, 1, EllenbergDistance, 1, 0.15457653, 0.84615386, 0.26140013, 0.25639278, 0.07621863, 0.7172396, 0.12929802, 26.041668, -0.010967197, 0.9814815, 0.08859829, 0.033356417, 0.01255674, 0.0047262823, 0.0017787413, 6.0731323E-5, 7.4578516E-6, 642, 
17, LogWeight EntropyWeight, 0.0, 0, 1, UnbiasedEllenbergDistance, 1, 0.14821763, 0.65696466, 0.24186759, 0.2603583, 0.10826271, 0.61617804, 0.16701138, 27.083332, -0.036382176, 0.9444444, 0.13176177, 0.049209952, 0.01838587, 0.006871984, 0.0025694645, 1.6401846E-5, -0.057915274, 749, 
17, LogWeight EntropyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5061082, 0.6029106, 0.5502846, 0.61751044, 0.49490693, 0.59278774, 0.56939834, 63.541664, -0.00643189, 0.75, 0.53764325, 0.35983744, 0.24763943, 0.17566839, 0.1286357, -0.29595464, -0.41912478, 31, 
17, LogWeight EntropyWeight, 0.0, 0, 2, ModifiedCosineDistance, 1, 0.50735295, 0.57380456, 0.5385366, 0.6230089, 0.42836517, 0.57297355, 0.56263167, 61.458336, -0.008413845, 0.7314815, 0.54574686, 0.35692906, 0.24718113, 0.18095665, 0.13941973, -0.3881347, -0.42803693, 31, 
17, LogWeight EntropyWeight, 0.0, 0, 2, DotDistance, 1, 0.08373741, 0.9334719, 0.15368818, 0.17690836, 0.06766944, 0.912656, 0.07349914, 11.458331, -0.018020617, 0.0, 0.12254486, 0.120152004, 0.117819645, 0.11554606, 0.11332959, 0.021906154, 0.0013892044, 2552, 
