Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 1818, initial table, 0.49308756, 0.42125985, 0.45435244, 0.5960058, 0.4865086, 0.5268736, 0.57179296, 59.59596, -0.008651163, 0.8108108, 0.46185803, 0.24221766, 0.13974251, 0.09072884, 0.0664149, -0.25967464, -0.27572834, 76, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 13, 90% concept, 0.37242472, 0.4625984, 0.41264266, 0.43832532, 0.34395036, 0.40362504, 0.38003987, 45.454544, -0.02043991, 0.8648649, 0.3459064, 0.18598384, 0.11305478, 0.07845318, 0.061038136, -0.17449844, -0.44032827, 13, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 1818, 90% approx, 0.35248446, 0.4468504, 0.3940972, 0.4302535, 0.32242528, 0.436552, 0.41497067, 45.454544, -0.014728056, 0.8918919, 0.3446515, 0.15865009, 0.07489283, 0.036397535, 0.018268261, -0.17308646, -0.29510853, 176, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 25, 95% concept, 0.3997093, 0.54133856, 0.4598662, 0.48389107, 0.37895763, 0.5926526, 0.42716447, 55.555557, -0.004530664, 0.8378378, 0.33210582, 0.18641314, 0.11681233, 0.082095444, 0.06376192, -0.1949492, -0.51594955, 0, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 1818, 95% aprox, 0.41079462, 0.53937006, 0.46638298, 0.4942534, 0.5094161, 0.588731, 0.5443877, 58.585857, -0.0071154856, 0.8288288, 0.4061908, 0.21769518, 0.1301109, 0.08779405, 0.06622654, -0.19747096, -0.30392522, 64, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 12, n*m^0.2 concept, 0.36231884, 0.492126, 0.41736227, 0.43442002, 0.3566942, 0.46085298, 0.4209652, 44.444443, -0.017828798, 0.8018018, 0.3678801, 0.18828224, 0.104032435, 0.062496003, 0.040654577, -0.1528632, -0.38865125, 10, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 1818, n*m^0.2 aprox, 0.31043592, 0.4625984, 0.3715415, 0.39332882, 0.30938888, 0.5084203, 0.3842874, 40.40404, -0.027621448, 0.7387387, 0.365851, 0.1874546, 0.104413465, 0.06353785, 0.04191533, -0.13492261, -0.20989712, 169, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 111, kaiser concept, 0.5, 0.42716536, 0.46072185, 0.6029182, 0.48356742, 0.4776757, 0.56885177, 59.59596, -0.01133256, 0.8108108, 0.4620243, 0.24192432, 0.1391996, 0.09015754, 0.06592596, -0.25128704, -0.27690893, 2, 
17, LogWeight InverseDocumentFrequencyWeight, 0.0, 5, 3, ModifiedCosineDistance, 1, 1818, kaiser aprox, 0.49308756, 0.42125985, 0.45435244, 0.5960058, 0.4865086, 0.5268736, 0.57179296, 59.59596, -0.008651163, 0.8108108, 0.46185803, 0.24221766, 0.13974251, 0.09072884, 0.0664149, -0.25967464, -0.27572834, 46, 
17, LogWeight InverseDocumentFrequencyWeight, 0.25, 5, 3, ModifiedCosineDistance, 1, 1818, initial table, 0.49068323, 0.46653542, 0.4783047, 0.5942031, 0.4033137, 0.5050672, 0.47953275, 58.585857, -0.008452426, 0.8378378, 0.4128233, 0.2211596, 0.13042101, 0.08653671, 0.0645909, -0.24076135, -0.3136046, 112, 
17, LogWeight InverseDocumentFrequencyWeight, 0.25, 5, 3, ModifiedCosineDistance, 1, 13, 90% concept, 0.30703014, 0.42125985, 0.35518676, 0.3768531, 0.41044897, 0.4776149, 0.44522664, 41.414143, -0.028459843, 0.7657658, 0.4008999, 0.23514132, 0.1558503, 0.115112185, 0.09212849, -0.14103049, -0.31137913, 37, 
17, LogWeight InverseDocumentFrequencyWeight, 0.25, 5, 3, ModifiedCosineDistance, 1, 1818, 90% approx, 0.3386628, 0.4586614, 0.3896321, 0.4058865, 0.38584718, 0.49691576, 0.41815153, 44.444443, -0.030147014, 0.9009009, 0.34675938, 0.18805061, 0.11578017, 0.08132857, 0.063766204, -0.16243553, -0.31680602, 1478, 
17, LogWeight InverseDocumentFrequencyWeight, 0.25, 5, 3, ModifiedCosineDistance, 1, 25, 95% concept, 0.46545455, 0.503937, 0.48393193, 0.5513633, 0.45181447, 0.6580907, 0.5345982, 57.575756, -0.004911181, 0.8738739, 0.36727548, 0.18131948, 0.0924142, 0.04878253, 0.02670683, -0.2491586, -0.3332044, 20, 
17, LogWeight InverseDocumentFrequencyWeight, 0.25, 5, 3, ModifiedCosineDistance, 1, 1818, 95% aprox, 0.4883721, 0.496063, 0.4921875, 0.5662143, 0.5214694, 0.5876302, 0.5775003, 61.616158, -0.018500067, 0.8558559, 0.41424355, 0.20020747, 0.100093156, 0.05195422, 0.028046146, -0.24008857, -0.22381954, 1278, 
