Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
2, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.13673232, 0.8271028, 0.23467019, 0.23226482, 0.14914066, 0.73052406, 0.24436817, 20.238096, -0.0014420754, 1.0, 0.4182453, 0.17494217, 0.07317968, 0.030613907, 0.012807945, -0.08024104, -0.086359896, 31, 
3, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.18634333, 0.682243, 0.29273185, 0.29647937, 0.2115941, 0.7048165, 0.3205277, 25.0, -0.0028510715, 1.0, 0.43126193, 0.18614054, 0.08040686, 0.0347609, 0.015039294, -0.114876285, -0.11095189, 7, 
4, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.26436782, 0.69859815, 0.38357922, 0.38188902, 0.29285422, 0.82348496, 0.40588152, 36.904762, -0.0053464207, 1.0, 0.45499918, 0.20803005, 0.09557092, 0.044113487, 0.020455396, -0.13696447, -0.15794662, 9, 
5, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.2694497, 0.6635514, 0.38326585, 0.38417155, 0.43372187, 0.811711, 0.57550067, 40.476192, -0.006327124, 1.0, 0.47928828, 0.23318624, 0.115281716, 0.057952147, 0.029631395, -0.14616995, -0.20804144, 8, 
6, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.34980989, 0.6448598, 0.45357433, 0.47063798, 0.432874, 0.7300945, 0.5710824, 47.619045, -0.004240216, 1.0, 0.47607052, 0.22829151, 0.11029705, 0.053699136, 0.026347242, -0.18755111, -0.20202695, 8, 
7, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.35465926, 0.5957944, 0.4446382, 0.4845851, 0.3849361, 0.6223094, 0.5125516, 46.428574, -0.00530618, 0.94736844, 0.4730309, 0.22524333, 0.10800098, 0.05215937, 0.02537764, -0.19940042, -0.1937868, 12, 
8, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.36432928, 0.55841124, 0.44095942, 0.49263206, 0.3957544, 0.52594626, 0.4975178, 46.428574, -0.009115562, 0.9263158, 0.48673618, 0.23958158, 0.119310655, 0.060127836, 0.030665107, -0.1961255, -0.21756436, 10, 
9, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.41962776, 0.5794392, 0.4867517, 0.5360969, 0.4911136, 0.5330106, 0.56352544, 54.761906, -0.008713923, 0.9368421, 0.50243145, 0.25450224, 0.12995376, 0.066878036, 0.034678936, -0.2192742, -0.25021106, 12, 
10, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.45506692, 0.55607474, 0.5005258, 0.5592733, 0.53811705, 0.58443266, 0.60593975, 57.142853, -0.0036940554, 0.9368421, 0.5153095, 0.2676128, 0.14003721, 0.07382172, 0.039193865, -0.25251922, -0.27703282, 13, 
11, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.4448819, 0.52803737, 0.48290598, 0.5501967, 0.48757398, 0.57942015, 0.5497721, 55.95238, -0.003657469, 0.9263158, 0.46940985, 0.2441532, 0.1279046, 0.0674766, 0.035840716, -0.26024553, NaN, 15, 
12, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.45109782, 0.52803737, 0.4865447, 0.5578841, 0.46777615, 0.57942015, 0.52479106, 55.95238, -0.003657469, 0.9157895, 0.43490005, 0.22893907, 0.12153637, 0.06504456, 0.035080776, -0.2637753, NaN, 16, 
13, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.47379455, 0.52803737, 0.49944752, 0.5719776, 0.5223917, 0.57942015, 0.5818584, 59.523808, -0.0016613554, 0.8736842, 0.44838586, 0.23965134, 0.12914489, 0.07013942, 0.038373694, -0.27440786, NaN, 17, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5354691, 0.54672897, 0.5410404, 0.63920665, 0.5627492, 0.6437059, 0.6235199, 64.28571, -0.00116031, 0.83157897, 0.48403922, 0.28463578, 0.17615566, 0.11583344, 0.08133693, -0.297527, NaN, 19, 
15, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.53125, 0.51635516, 0.5236967, 0.6338141, 0.559576, 0.6262804, 0.6270697, 63.095238, -0.0034354492, 0.7473684, 0.48950207, 0.28796613, 0.17811152, 0.116784945, 0.08152989, -0.3009492, NaN, 20, 
16, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5400517, 0.48831776, 0.5128835, 0.6477174, 0.5257253, 0.5502571, 0.61149204, 63.095238, -0.004259677, 0.7263158, 0.49079907, 0.28624025, 0.17528592, 0.11372979, 0.07860539, -0.31514364, NaN, 21, 
17, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.53524804, 0.47897196, 0.5055487, 0.6440382, 0.5536238, 0.54858625, 0.6343455, 61.904762, -0.0040775626, 0.7263158, 0.5164318, 0.32179826, 0.21579899, 0.15632422, 0.1216566, -0.31752095, NaN, 22, 
18, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5408971, 0.47897196, 0.5080545, 0.65083545, 0.5265706, 0.54858625, 0.60836333, 61.904762, -0.0017627421, 0.7263158, 0.4896254, 0.30562958, 0.20497319, 0.14834343, 0.11529747, -0.3208991, NaN, 24, 
19, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.57954544, 0.47663552, 0.52307695, 0.6969696, 0.5174217, 0.5962053, 0.5961731, 63.095238, -0.0024825188, 0.6421053, 0.4943602, 0.30722368, 0.20443396, 0.14647903, 0.11267712, -0.33369595, NaN, 25, 
20, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.58966565, 0.45327103, 0.5125495, 0.701621, 0.4971673, 0.52171546, 0.5836569, 63.095238, -0.0022674196, 0.6210526, 0.49749917, 0.30782405, 0.20359306, 0.14479029, 0.11049013, -0.34170693, NaN, 26, 
21, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5981595, 0.45560747, 0.51724136, 0.7065439, 0.5528577, 0.54552495, 0.61141926, 64.28571, -6.442185E-4, 0.6210526, 0.50233954, 0.3102016, 0.20403683, 0.14391096, 0.108787864, -0.3433835, NaN, 27, 
22, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6118881, 0.4088785, 0.49019608, 0.7121212, 0.5502719, 0.5364363, 0.6138084, 63.095238, -9.0046896E-4, 0.57894737, 0.50668925, 0.3120537, 0.20399466, 0.14265703, 0.10684695, -0.38011938, NaN, 29, 
23, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6105263, 0.40654206, 0.48807856, 0.71111107, 0.48286882, 0.5292935, 0.5436428, 61.904762, -9.0046896E-4, 0.57894737, 0.46501803, 0.28961325, 0.19111702, 0.13464381, 0.101383425, -0.38092363, NaN, 30, 
24, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6304348, 0.40654206, 0.49431825, 0.72343, 0.47108257, 0.5292935, 0.52654654, 61.904762, -0.0015453795, 0.56842107, 0.44687453, 0.27885136, 0.18419111, 0.12976654, 0.09764472, -0.3916566, NaN, 31, 
25, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.619403, 0.38785046, 0.47701153, 0.71517414, 0.45223927, 0.52595174, 0.5054847, 60.714287, -0.0015453795, 0.55789477, 0.43044147, 0.2693193, 0.17819239, 0.12560318, 0.094461925, -0.40006572, NaN, 33, 
26, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.61752987, 0.36214954, 0.45655376, 0.70152724, 0.39529914, 0.47647598, 0.45526788, 58.333336, -0.008599125, 0.48421052, 0.41514966, 0.26011255, 0.17211825, 0.12123494, 0.09108161, -0.40247574, NaN, 34, 
27, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6888889, 0.36214954, 0.47473198, 0.7640741, 0.42447492, 0.47647598, 0.49082357, 60.714287, -0.004112625, 0.4526316, 0.42421937, 0.26675785, 0.17664605, 0.12407094, 0.09263948, -0.4399825, NaN, 34, 
28, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6730769, 0.3271028, 0.44025156, 0.7512019, 0.46883893, 0.4526665, 0.5248815, 60.714287, 0.0017813937, 0.42105263, 0.43768552, 0.2796708, 0.18768938, 0.13292794, 0.09943449, -0.44508526, NaN, 35, 
29, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6714976, 0.32476637, 0.43779528, 0.75, 0.41818932, 0.45188156, 0.47229934, 59.523808, 0.0017816469, 0.42105263, 0.4059455, 0.26199, 0.17733727, 0.12647101, 0.09510138, -0.44620156, NaN, 36, 
30, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.67980295, 0.3224299, 0.43740097, 0.75, 0.40758297, 0.4510966, 0.45766717, 59.523808, -0.001916259, 0.42105263, 0.3941916, 0.255447, 0.17345081, 0.12392043, 0.09321586, -0.44934696, NaN, 38, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6954315, 0.32009345, 0.43840003, 0.7677665, 0.39120933, 0.379668, 0.4396779, 58.333336, -0.001904209, 0.42105263, 0.39967158, 0.25759673, 0.17385283, 0.123416916, 0.09226025, -0.45480675, NaN, 39, 
32, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6756757, 0.29205608, 0.40783036, 0.7527027, 0.41023403, 0.3388517, 0.45718795, 57.142853, -0.001904209, 0.34736842, 0.41377908, 0.27108735, 0.18532504, 0.13254806, 0.09920667, -0.46836147, NaN, 40, 
33, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6868132, 0.29205608, 0.40983608, 0.76144695, 0.38366127, 0.39837554, 0.41808122, 57.142853, -0.0010873103, 0.34736842, 0.39006743, 0.25962156, 0.17945905, 0.12921882, 0.0970252, -0.4759943, NaN, 41, 
34, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.73913044, 0.27803737, 0.40407467, 0.8048655, 0.38155928, 0.3893052, 0.4193044, 57.142853, -0.004403923, 0.31578946, 0.40379786, 0.2721022, 0.18959859, 0.13693859, 0.102636516, -0.49869457, NaN, 42, 
35, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.70666665, 0.24766356, 0.366782, 0.78055555, 0.39414963, 0.37059778, 0.43430838, 55.95238, -0.0021512967, 0.34736842, 0.40426335, 0.27981076, 0.19932897, 0.14633884, 0.11078268, -0.50248015, NaN, 54, 
36, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.7162162, 0.24766356, 0.36805555, 0.7843469, 0.38320103, 0.37059778, 0.4176146, 55.95238, -5.277267E-4, 0.34736842, 0.3946052, 0.27379146, 0.19525975, 0.14336649, 0.108468264, -0.50764084, NaN, 57, 
37, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.7291667, 0.2453271, 0.36713284, 0.7991898, 0.37554696, 0.35869303, 0.40903044, 55.95238, 2.8504094E-4, 0.34736842, 0.38649046, 0.26971507, 0.1932362, 0.14232828, 0.107859015, -0.51579386, NaN, 57, 
38, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.70454544, 0.21728972, 0.33214283, 0.78093433, 0.39197993, 0.35368046, 0.42458227, 54.761906, 2.8504094E-4, 0.3263158, 0.397753, 0.27939582, 0.20094973, 0.14817321, 0.112116486, -0.54508185, NaN, 59, 
39, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.7131783, 0.21495327, 0.3303411, 0.78617567, 0.38192916, 0.35326275, 0.41369554, 54.761906, 3.279169E-4, 0.3263158, 0.38840154, 0.273205, 0.1966358, 0.14501643, 0.10970335, -0.5509012, NaN, 60, 
40, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.7007874, 0.20794393, 0.32072073, 0.7808399, 0.34738094, 0.3151675, 0.39710316, 52.380955, 1.4003931E-4, 0.3263158, 0.37991858, 0.2677797, 0.192928, 0.14231592, 0.10762559, -0.5540498, NaN, 62, 
41, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.697479, 0.19392523, 0.30347347, 0.7773109, 0.37955862, 0.31266123, 0.42264807, 52.380955, -0.0017876468, 0.2631579, 0.3915187, 0.27953455, 0.20433463, 0.15300316, 0.11737525, -0.5660088, NaN, 63, 
42, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6869565, 0.18457943, 0.29097605, 0.7695652, 0.39433107, 0.3095215, 0.43639454, 51.19048, -0.002034163, 0.2631579, 0.3976973, 0.28306624, 0.20621574, 0.15385404, 0.11758733, -0.57352906, NaN, 68, 
