Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.53348213, 0.55196303, 0.5425652, 0.6346726, 0.56469727, 0.6437059, 0.62546796, 64.70589, -0.0015310604, 0.8333333, 0.48428893, 0.2850935, 0.17676453, 0.11655098, 0.08213435, -0.2998167, -0.4424038, 97, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 2, 0.4659091, 0.4734411, 0.4696449, 0.5571969, 0.52422374, 0.5967134, 0.5941781, 58.823524, -0.0106373355, 0.8125, 0.4465532, 0.23424557, 0.12370475, 0.06575807, 0.035178892, -0.29361477, -0.3837674, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 3, 0.54252875, 0.54503465, 0.54377884, 0.62796926, 0.5785096, 0.71343374, 0.6501899, 64.70589, 0.0010843263, 0.8333333, 0.48806915, 0.28879482, 0.17950262, 0.11836443, 0.08326824, -0.30048728, -0.44968337, 41, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 1, 0.5663507, 0.55196303, 0.55906427, 0.6548183, 0.5307954, 0.64774525, 0.6046878, 67.05882, -0.0049231458, 0.8333333, 0.4501879, 0.23822801, 0.12703434, 0.06826797, 0.036972854, -0.3013779, -0.39021793, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 2, 0.5245478, 0.46882218, 0.49512196, 0.59302324, 0.5297924, 0.5879827, 0.5908861, 62.352943, -0.00874509, 0.9166667, 0.46319953, 0.25261146, 0.13895516, 0.07704924, 0.0430379, -0.30146205, -0.41388512, 24, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 3, 0.544757, 0.49191687, 0.51699024, 0.6270247, 0.5598988, 0.71935284, 0.63101053, 63.529408, -0.005001847, 0.875, 0.48316497, 0.2853859, 0.17923999, 0.12117939, 0.08859675, -0.30795646, -0.43935868, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5217391, 0.49884528, 0.51003546, 0.62238324, 0.5306687, 0.63469064, 0.60200244, 61.176468, -0.006049165, 0.8125, 0.4498963, 0.23846865, 0.12760563, 0.06890317, 0.03752435, -0.30841908, -0.39171728, 19, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 2, 0.548926, 0.5311778, 0.539906, 0.66666657, 0.55989885, 0.75624454, 0.65736675, 63.529408, -0.009059471, 0.84375, 0.4730563, 0.275566, 0.17252316, 0.11771482, 0.08777891, -0.29627946, -0.4208618, 23, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 3, 0.548926, 0.5311778, 0.539906, 0.66666657, 0.55989885, 0.75624454, 0.65736675, 63.529408, -0.0047171386, 0.84375, 0.4730563, 0.275566, 0.17252316, 0.11771482, 0.08777891, -0.29627946, -0.4208618, 24, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 1, 0.4516129, 0.517321, 0.48223895, 0.5500672, 0.4864041, 0.5251655, 0.568585, 60.000004, -0.009316461, 0.8020833, 0.4459195, 0.2342963, 0.12426103, 0.06648285, 0.03586155, -0.27063295, -0.38368145, 19, 
