Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 0.4914329, 0.61142856, 0.4556582, 0.49422634, 0.47156644, 0.54661554, 0.59638965, 0.6816666, 0.49597105, 0.56978637, 0.6366543, 0.74405754, 0.5863267, 0.68248785, 58.82353, 65.88235, -0.010075932, -0.00475655, 0.8322916, 0.90625, 0.50313747, 0.56132466, 0.28669888, 0.32392436, 0.17032781, 0.20348413, 0.10627475, 0.14201859, 0.07008746, 0.106910184, -0.29673848, -0.26864418, -0.3801457, -0.33798143, 359, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 0.4696414, 0.58933336, 0.45796767, 0.5103926, 0.46256837, 0.5470297, 0.5596164, 0.6668888, 0.49580222, 0.59300655, 0.6306287, 0.71588534, 0.56599844, 0.64737254, 59.29411, 67.05882, -0.00935641, 3.06348E-4, 0.8624999, 0.8958333, 0.47184125, 0.5216819, 0.2673727, 0.3089175, 0.15902728, 0.19950189, 0.100516364, 0.13910852, 0.06821712, 0.104074374, -0.26859736, -0.21579348, -0.40441784, -0.3045845, 403, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 0.45378518, 0.53411764, 0.43071598, 0.52424943, 0.44094372, 0.52913755, 0.54101026, 0.62298566, 0.52534544, 0.6355353, 0.5836992, 0.6878634, 0.60234034, 0.68198746, 57.05882, 63.529408, -0.00905401, -0.0034231131, 0.8489583, 0.90625, 0.49302664, 0.5480539, 0.28557786, 0.3500667, 0.17585483, 0.2439345, 0.11646508, 0.18499388, 0.08338974, 0.15081047, -0.27405065, -0.23111059, -0.3936946, -0.31291354, 391, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 0.43663448, 0.61734694, 0.44064665, 0.5588915, 0.43461457, 0.5866667, 0.5241561, 0.6726189, 0.46655282, 0.5560761, 0.61838406, 0.71713305, 0.55483425, 0.63789284, 55.058826, 69.411766, -0.008853155, -0.0023167245, 0.8291666, 0.875, 0.46507722, 0.5729278, 0.2620551, 0.34528658, 0.154898, 0.22151111, 0.097068325, 0.15256047, 0.06502797, 0.112991676, -0.26961368, -0.17587796, -0.4059921, -0.34028795, 378, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 10, 0.44479623, 0.52505964, 0.4725173, 0.5496536, 0.4544002, 0.5164319, 0.5359869, 0.6240033, 0.5209158, 0.6108977, 0.6381546, 0.73404896, 0.60129446, 0.7052189, 57.647057, 64.70589, -0.006423912, -9.691091E-4, 0.8322916, 0.9479167, 0.45952806, 0.5182034, 0.25559562, 0.31342283, 0.14908561, 0.20801975, 0.09227635, 0.14761008, 0.06121082, 0.11150735, -0.2588845, -0.21763402, -0.39588514, -0.2621689, 373, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 10, 0.4573905, 0.53532606, 0.44157043, 0.47575057, 0.44848782, 0.49271846, 0.5551355, 0.62962985, 0.5175346, 0.64799255, 0.6338457, 0.7032972, 0.60735565, 0.726564, 58.0, 64.70589, -0.011109177, -0.0018161623, 0.8041667, 0.875, 0.4861136, 0.55603606, 0.272065, 0.3265571, 0.15939777, 0.21082906, 0.09886934, 0.15015003, 0.065554336, 0.1135788, -0.26394635, -0.23647001, -0.37554282, -0.31074184, 357, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 10, 0.4344973, 0.46943232, 0.4471132, 0.5612009, 0.43970594, 0.49897334, 0.51417315, 0.54470587, 0.507687, 0.5919574, 0.6280634, 0.7124777, 0.58979946, 0.69136155, 57.17647, 62.352943, -0.007996263, -7.3330913E-4, 0.8177084, 0.8645833, 0.48038292, 0.51941645, 0.2735382, 0.30884957, 0.16371658, 0.20522477, 0.103909805, 0.14633814, 0.07035987, 0.111423925, -0.25773448, -0.22119267, -0.39846903, -0.3365313, 366, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 10, 0.44244328, 0.5371429, 0.42586607, 0.53810626, 0.4331488, 0.5218365, 0.53354084, 0.5904027, 0.55474603, 0.63580704, 0.5747928, 0.70124996, 0.64233506, 0.71033555, 56.588238, 64.70589, -0.010012699, -0.0014339978, 0.815625, 0.90625, 0.51221526, 0.57626104, 0.28729448, 0.35741347, 0.16937475, 0.24164112, 0.10606678, 0.17839612, 0.0711055, 0.14231108, -0.25598496, -0.2049802, -0.34068954, -0.27610084, 371, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 10, 0.45297074, 0.5099715, 0.4399538, 0.50577366, 0.44535908, 0.49659866, 0.546048, 0.6206078, 0.51936877, 0.6150614, 0.6063229, 0.67756844, 0.60982424, 0.69954354, 58.117645, 62.352943, -0.0074418285, 0.0010968347, 0.8239583, 0.8958333, 0.4770333, 0.52567047, 0.26315117, 0.31215724, 0.15114583, 0.19691227, 0.09127787, 0.13329914, 0.058514345, 0.097187646, -0.2581695, -0.21026164, -0.37198994, -0.31167462, 360, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 10, 0.41321477, 0.489418, 0.44826788, 0.48729792, 0.42782348, 0.46784922, 0.4972562, 0.5833333, 0.48487562, 0.56535655, 0.6296432, 0.6933166, 0.5778204, 0.64848167, 54.94117, 60.000004, -0.0069578933, -0.0010568722, 0.8104167, 0.9166667, 0.48651686, 0.5535825, 0.2769011, 0.34570846, 0.16276363, 0.22703585, 0.09935528, 0.15692724, 0.06333867, 0.11388253, -0.26797336, -0.2088131, -0.38654158, -0.32127988, 384, 
