Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 5, 1, 0.46296296, 0.46189377, 0.46242777, 0.5675155, 0.48461655, 0.4803777, 0.5852788, 56.470585, -0.045699496, 0.8541667, 0.5477203, 0.32584286, 0.21273275, 0.15272896, 0.119608715, -0.21918723, -0.2910154, 88, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 5, 2, 0.45343137, 0.42725173, 0.43995246, 0.5502451, 0.5411565, 0.46790603, 0.62814623, 57.64706, -0.046758715, 0.8125, 0.5405473, 0.30626136, 0.18127184, 0.11152714, 0.070915975, -0.20625226, -0.2893997, 13, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 1, 0.5414365, 0.45265588, 0.4930818, 0.643186, 0.6281504, 0.59582293, 0.68652236, 62.352943, -0.019812992, 0.7708333, 0.58035433, 0.3523833, 0.22469465, 0.15084866, 0.10666395, -0.31163725, -0.37201184, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 2, 0.42195123, 0.3995381, 0.41043893, 0.53170735, 0.70287806, 0.62064135, 0.7579278, 57.64706, -0.03209653, 0.8020833, 0.58093154, 0.3601358, 0.23895328, 0.16923685, 0.12695538, -0.2686442, -0.3640759, 24, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 15, 1, 0.45540798, 0.55427253, 0.5, 0.54395944, 0.53726727, 0.66475207, 0.6196418, 60.000004, 0.001406747, 0.8645833, 0.4740145, 0.2745811, 0.16865723, 0.110967435, 0.07851369, -0.3085421, -0.42588365, 25, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 15, 2, 0.41317365, 0.47806004, 0.4432548, 0.48436454, 0.53654975, 0.68520844, 0.6283714, 60.000004, -0.010856553, 0.78125, 0.45810503, 0.24647665, 0.13348214, 0.07274812, 0.03989012, -0.26951137, -0.40644976, 45, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 20, 1, 0.3590909, 0.5473441, 0.43366876, 0.504798, 0.44133887, 0.6731935, 0.54452974, 48.23529, -0.016987089, 0.78125, 0.4337171, 0.25457358, 0.16190992, 0.11298523, 0.08643101, -0.22938459, -0.46292374, 39, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 20, 2, 0.41186735, 0.54503465, 0.46918485, 0.5088716, 0.55099523, 0.65305614, 0.63233936, 57.64706, -0.0022309637, 0.8125, 0.46935192, 0.30338424, 0.21352746, 0.1629046, 0.13291927, -0.25172263, -0.5189105, 40, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 25, 1, 0.37582782, 0.52424943, 0.43780136, 0.51379687, 0.44825763, 0.709689, 0.49167338, 45.88235, -0.0013448492, 0.8333333, 0.42067334, 0.270161, 0.1910926, 0.14797303, 0.123126335, -0.26560324, -0.5483946, 41, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 25, 2, 0.23908046, 0.4803695, 0.31926322, 0.32643682, 0.34428594, 0.69919807, 0.41278648, 42.35294, -0.0029614521, 0.84375, 0.34605128, 0.23088074, 0.17028631, 0.13689703, 0.11720681, -0.22482193, -0.6461392, 48, 
