Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 4004, initial table, 0.3256002, 0.3738283, 0.34805152, 0.6216755, 0.40375084, 0.34980455, 0.61164325, 50.763355, -0.004266707, 0.75641024, 0.5827305, 0.35258144, 0.21386082, 0.13004118, 0.079269886, -0.18330635, -0.21570818, 1201, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 127, 95% concept, 0.42643678, 0.30988398, 0.35893577, 0.68317163, 0.49152574, 0.34904763, 0.711507, 57.251907, -0.0094557535, 0.97985345, 0.62592757, 0.39659077, 0.2549622, 0.16679507, 0.11141184, -0.18807155, -0.19793734, 40, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 4004, 95% aprox, 0.42643678, 0.30988398, 0.35893577, 0.68317163, 0.49152574, 0.34904763, 0.711507, 57.251907, -0.0094557535, 0.97985345, 0.62592757, 0.39659077, 0.2549622, 0.16679507, 0.11141184, -0.18807155, -0.19793734, 1200, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 19, n*m^0.2 concept, 0.4373457, 0.27953595, 0.34107122, 0.6940628, 0.4596823, 0.2924638, 0.6906177, 55.34351, -0.018382344, 0.98351645, 0.61764586, 0.38422883, 0.24067469, 0.15175077, 0.096284315, -0.15969452, -0.17404038, 10, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 4004, n*m^0.2 aprox, 0.4373457, 0.27953595, 0.34107122, 0.6940628, 0.4596823, 0.2924638, 0.6906177, 55.34351, -0.018382344, 0.98351645, 0.61764586, 0.38422883, 0.24067469, 0.15175077, 0.096284315, -0.15969452, -0.17404038, 1565, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 545, kaiser concept, 0.3256002, 0.3738283, 0.34805152, 0.6216755, 0.40375084, 0.34980455, 0.61164325, 50.763355, -0.004266707, 0.75641024, 0.5827305, 0.35258144, 0.21386082, 0.13004118, 0.079269886, -0.18330635, -0.21570818, 165, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 4004, kaiser aprox, 0.3256002, 0.3738283, 0.34805152, 0.6216755, 0.40375084, 0.34980455, 0.61164325, 50.763355, -0.004266707, 0.75641024, 0.5827305, 0.35258144, 0.21386082, 0.13004118, 0.079269886, -0.18330635, -0.21570818, 1205, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 4004, initial table, 0.31703773, 0.38459396, 0.34756356, 0.6205146, 0.43475968, 0.35437587, 0.633087, 50.38168, -0.0056147487, 0.7417582, 0.5331986, 0.2989837, 0.17045279, 0.098933905, 0.058537435, -0.2589186, -0.21896596, 1674, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 127, 95% concept, 0.43022954, 0.30960557, 0.36008418, 0.6851084, 0.4838243, 0.3498853, 0.7104338, 57.251907, -0.009932967, 0.970696, 0.59921354, 0.36916617, 0.23485199, 0.15502234, 0.10668095, -0.2828109, -0.27927336, 42, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 4004, 95% aprox, 0.423601, 0.2971694, 0.34929642, 0.6833014, 0.47043017, 0.34715298, 0.69947314, 56.297707, -0.009582459, 0.96886444, 0.5885072, 0.35151747, 0.21308124, 0.13104813, 0.0817369, -0.27528745, -0.26542023, 1222, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 19, n*m^0.2 concept, 0.42720252, 0.27721578, 0.33624133, 0.6887297, 0.45772722, 0.2913586, 0.68944013, 54.961838, -0.018431755, 0.98351645, 0.5897879, 0.35498738, 0.21784322, 0.13612536, 0.086487606, -0.2267653, -0.25163227, 12, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 4004, n*m^0.2 aprox, 0.4261966, 0.2760093, 0.33504197, 0.6875246, 0.44277552, 0.29009482, 0.6766895, 54.770996, -0.018646782, 0.992674, 0.590476, 0.35584122, 0.21863496, 0.13677503, 0.08698454, -0.22606318, -0.2523711, 1591, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 545, kaiser concept, 0.32323638, 0.37336427, 0.3464967, 0.62332416, 0.4034669, 0.3506954, 0.59547156, 50.763355, -0.0058782115, 0.75457877, 0.526242, 0.30123448, 0.17483309, 0.103005126, 0.0616758, -0.25985935, -0.26013038, 266, 
29, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 4004, kaiser aprox, 0.31609675, 0.38691416, 0.34793857, 0.62151444, 0.40927467, 0.35077468, 0.6007491, 50.763355, -0.005861805, 0.7417582, 0.5173906, 0.29029652, 0.16452032, 0.094214916, 0.054536704, -0.25400943, -0.24789453, 1803, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 4004, initial table, 0.3638182, 0.48955917, 0.41742504, 0.62198853, 0.4970251, 0.4384239, 0.7056744, 51.526714, -0.0035106482, 0.56227106, 0.58438444, 0.3568143, 0.2201516, 0.13753128, 0.08718901, -0.19472243, -0.25203103, 1798, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 128, 95% concept, 0.3762968, 0.30969837, 0.3397648, 0.6624361, 0.3985922, 0.3605195, 0.6432483, 52.671753, -0.0072253738, 0.985348, 0.5836481, 0.35448816, 0.21629654, 0.1325647, 0.08159569, -0.2073608, -0.221089, 49, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 4004, 95% aprox, 0.3762968, 0.30969837, 0.3397648, 0.6624361, 0.3985922, 0.3605195, 0.6432483, 52.671753, -0.0072253738, 0.985348, 0.5836481, 0.35448816, 0.21629654, 0.1325647, 0.08159569, -0.2073608, -0.221089, 1448, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 19, n*m^0.2 concept, 0.49329102, 0.31730857, 0.3861968, 0.7074226, 0.4576175, 0.3291676, 0.73086447, 58.778625, -0.021210821, 0.985348, 0.6094116, 0.37417358, 0.23138765, 0.14406542, 0.0902776, -0.17844118, -0.1944066, 9, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 4004, n*m^0.2 aprox, 0.49329102, 0.31730857, 0.3861968, 0.7074226, 0.4576175, 0.3291676, 0.73086447, 58.778625, -0.021210821, 0.985348, 0.6094116, 0.37417358, 0.23138765, 0.14406542, 0.0902776, -0.17844118, -0.1944066, 1444, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 544, kaiser concept, 0.3638182, 0.48955917, 0.41742504, 0.62198853, 0.4970251, 0.4384239, 0.7056744, 51.526714, -0.0035106482, 0.56227106, 0.58438444, 0.3568143, 0.2201516, 0.13753128, 0.08718901, -0.19472243, -0.25203103, 247, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 4004, kaiser aprox, 0.3638182, 0.48955917, 0.41742504, 0.62198853, 0.4970251, 0.4384239, 0.7056744, 51.526714, -0.0035106482, 0.56227106, 0.58438444, 0.3568143, 0.2201516, 0.13753128, 0.08718901, -0.19472243, -0.25203103, 1812, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, ModifiedCosineDistance, 1, 4004, initial table, 0.3581081, 0.47220418, 0.40731698, 0.61868197, 0.4533067, 0.38463008, 0.6937041, 51.526714, -0.006114918, 0.75457877, 0.52130216, 0.2851959, 0.1582961, 0.089257725, 0.051196665, -0.24396574, -0.2512398, 12478, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, ModifiedCosineDistance, 1, 128, 95% concept, 0.38179916, 0.3048724, 0.33902678, 0.6646623, 0.44212937, 0.35135585, 0.68417937, 53.816795, -0.0062862043, 0.996337, 0.5663239, 0.3243754, 0.18782598, 0.10988846, 0.064918764, -0.2834539, -0.2549024, 51, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, ModifiedCosineDistance, 1, 4004, 95% aprox, 0.40370047, 0.30171692, 0.3453367, 0.67115223, 0.40288466, 0.3553439, 0.66120994, 53.05344, -0.0077299336, 0.98351645, 0.57139015, 0.33160937, 0.19534716, 0.11670997, 0.07064787, -0.2740074, -0.25900644, 1958, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, ModifiedCosineDistance, 1, 19, n*m^0.2 concept, 0.5055692, 0.32436195, 0.39518318, 0.7166064, 0.45114383, 0.3316511, 0.72796386, 59.160305, -0.020656386, 0.985348, 0.57912254, 0.34173644, 0.20535144, 0.12555574, 0.07803573, -0.24197678, -0.26048496, 11, 
29, LogWeight NoGlobalWeight, 0.0, 0, 3, ModifiedCosineDistance, 1, 4004, n*m^0.2 aprox, 0.4925739, 0.31703016, 0.38577074, 0.7081538, 0.46294016, 0.33682376, 0.7307534, 58.396946, -0.021965291, 0.985348, 0.5811081, 0.34456643, 0.20843284, 0.12856194, 0.080790676, -0.2377865, -0.26241124, 1473, 
