Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1211, initial table, 0.344635, 0.24763542, 0.28819212, 0.63868916, 0.4455577, 0.17763354, 0.59664375, 49.23858, -0.009828183, 0.9227053, 0.73668736, 0.5436903, 0.4019646, 0.2976964, 0.22084637, -0.15238914, -0.14178823, 109, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 41, 95% concept, 0.32660976, 0.2413299, 0.27756718, 0.6136222, 0.43903193, 0.2198011, 0.60770226, 50.253807, -0.005038799, 0.90338165, 0.6646648, 0.49837255, 0.3747748, 0.2826978, 0.21393557, -0.15085004, -0.19704518, 4, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1211, 95% aprox, 0.32660976, 0.2413299, 0.27756718, 0.6136222, 0.43903193, 0.2198011, 0.60770226, 50.253807, -0.005038799, 0.90338165, 0.6646648, 0.49837255, 0.3747748, 0.2826978, 0.21393557, -0.15085004, -0.19704518, 78, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 12, n*m^0.2 concept, 0.29933307, 0.2186873, 0.25273266, 0.569033, 0.43862796, 0.19385165, 0.65680665, 47.715736, -0.0010839077, 0.8647343, 0.7023237, 0.5228903, 0.38975355, 0.29085028, 0.21729106, -0.14832246, -0.17427103, 1, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1211, n*m^0.2 aprox, 0.29933307, 0.2186873, 0.25273266, 0.569033, 0.43862796, 0.19385165, 0.65680665, 47.715736, -0.0010839077, 0.8647343, 0.7023237, 0.5228903, 0.38975355, 0.29085028, 0.21729106, -0.14832246, -0.17427103, 52, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 203, kaiser concept, 0.344635, 0.24763542, 0.28819212, 0.63868916, 0.4455577, 0.17763354, 0.59664375, 49.23858, -0.009828183, 0.9227053, 0.73668736, 0.5436903, 0.4019646, 0.2976964, 0.22084637, -0.15238914, -0.14178823, 15, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1211, kaiser aprox, 0.344635, 0.24763542, 0.28819212, 0.63868916, 0.4455577, 0.17763354, 0.59664375, 49.23858, -0.009828183, 0.9227053, 0.73668736, 0.5436903, 0.4019646, 0.2976964, 0.22084637, -0.15238914, -0.14178823, 91, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1211, initial table, 0.3434066, 0.2149613, 0.26441038, 0.618752, 0.36284384, 0.1580346, 0.5391947, 47.208126, -0.018869685, 0.9516908, 0.72841936, 0.56479007, 0.4401228, 0.34460846, 0.27103877, -0.22489376, -0.184999, 165, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 41, 95% concept, 0.31384248, 0.22613929, 0.26286855, 0.5911486, 0.3705532, 0.21829507, 0.55722165, 49.746193, -0.00438793, 0.9178744, 0.66440254, 0.53153807, 0.4267447, 0.34385034, 0.27808112, -0.22533923, -0.25790033, 9, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1211, 95% aprox, 0.31679073, 0.21954715, 0.2593533, 0.5994156, 0.42307144, 0.2634435, 0.60960037, 49.23858, -0.00405383, 0.93236715, 0.70409, 0.55963254, 0.44639942, 0.3573879, 0.28720927, -0.22681807, -0.24638382, 128, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 12, n*m^0.2 concept, 0.3668639, 0.21324162, 0.2697118, 0.6015731, 0.45953384, 0.19539298, 0.68196, 51.269035, -0.0011152113, 0.884058, 0.7557118, 0.60564417, 0.48612043, 0.39076698, 0.3145735, -0.22404635, -0.2686059, 3, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1211, n*m^0.2 aprox, 0.38977957, 0.22298653, 0.2836828, 0.6266667, 0.46510473, 0.1973306, 0.68542606, 52.284264, -0.004445431, 0.884058, 0.75461924, 0.6040094, 0.484294, 0.38896286, 0.31291395, -0.22294906, -0.26777858, 150, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 203, kaiser concept, 0.34981146, 0.23932359, 0.28420696, 0.6377694, 0.4285822, 0.177104, 0.60104823, 49.746193, -0.012939187, 0.93719804, 0.7821624, 0.6140623, 0.4838983, 0.3827584, 0.30389404, -0.23112534, -0.21012859, 15, 
18, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1211, kaiser aprox, 0.34085974, 0.22499284, 0.27106354, 0.62896144, 0.37596196, 0.1601879, 0.54414076, 46.70051, -0.01913739, 0.942029, 0.73324823, 0.5717939, 0.44780958, 0.3521744, 0.2780821, -0.22126667, -0.22377934, 61, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1211, initial table, 0.40225118, 0.19461164, 0.26231408, 0.6464836, 0.43410742, 0.14212269, 0.6024935, 54.82234, -0.006720677, 0.92753625, 0.6674382, 0.47329268, 0.33676445, 0.24042922, 0.17222373, -0.1810628, -0.19665144, 69, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 48, 95% concept, 0.3073845, 0.24218974, 0.27092013, 0.61444044, 0.39248347, 0.16843443, 0.5699512, 47.208126, -0.0066310912, 0.8888889, 0.694687, 0.48420942, 0.33863488, 0.2376193, 0.16729294, -0.16323031, -0.16487333, 2, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1211, 95% aprox, 0.3073845, 0.24218974, 0.27092013, 0.61444044, 0.39248347, 0.16843443, 0.5699512, 47.208126, -0.0066310912, 0.8888889, 0.694687, 0.48420942, 0.33863488, 0.2376193, 0.16729294, -0.16323031, -0.16487333, 52, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 12, n*m^0.2 concept, 0.31862938, 0.23187159, 0.26841408, 0.6409833, 0.4266795, 0.16393343, 0.6376266, 49.746193, -0.006796235, 0.9178744, 0.66746396, 0.4736719, 0.3376041, 0.24171226, 0.17387159, -0.16232689, -0.19913752, 0, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1211, n*m^0.2 aprox, 0.31862938, 0.23187159, 0.26841408, 0.6409833, 0.4266795, 0.16393343, 0.6376266, 49.746193, -0.006796235, 0.9178744, 0.66746396, 0.4736719, 0.3376041, 0.24171226, 0.17387159, -0.16232689, -0.19913752, 52, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 205, kaiser concept, 0.40225118, 0.19461164, 0.26231408, 0.6464836, 0.43410742, 0.14212269, 0.6024935, 54.82234, -0.006720677, 0.92753625, 0.6674382, 0.47329268, 0.33676445, 0.24042922, 0.17222373, -0.1810628, -0.19665144, 12, 
18, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1211, kaiser aprox, 0.40225118, 0.19461164, 0.26231408, 0.6464836, 0.43410742, 0.14212269, 0.6024935, 54.82234, -0.006720677, 0.92753625, 0.6674382, 0.47329268, 0.33676445, 0.24042922, 0.17222373, -0.1810628, -0.19665144, 70, 
