Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
5, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.28100327, 0.7702046, 0.41177395, 0.56248325, 0.29188353, 0.5750497, 0.49406725, 38.235294, -5.577254E-4, 0.70812184, 0.4116005, 0.17008714, 0.070586875, 0.029428264, 0.012328645, -0.08595931, -0.08375391, 223, 
6, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.2880401, 0.68496984, 0.4055432, 0.59042275, 0.30443013, 0.5893617, 0.504844, 38.235294, -0.0013315342, 0.7284264, 0.41539142, 0.17313047, 0.072415315, 0.03040228, 0.012813621, -0.09467406, -0.09284543, 298, 
7, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.33061016, 0.66126895, 0.44082436, 0.612469, 0.3907791, 0.5016969, 0.61416614, 41.711227, -0.0010208997, 0.9898477, 0.4191367, 0.17611554, 0.07419822, 0.031348016, 0.013283519, -0.10672055, -0.10203865, 242, 
8, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.35932848, 0.639629, 0.46015352, 0.628099, 0.37660667, 0.4764858, 0.61312175, 43.048126, -0.0018239126, 0.9898477, 0.42379877, 0.18014942, 0.07682013, 0.032865345, 0.0141081475, -0.11518424, -0.111478895, 300, 
9, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.37185842, 0.62947154, 0.46752682, 0.6499108, 0.40362382, 0.4997405, 0.62293434, 45.187164, -0.0022219906, 0.9923858, 0.43237168, 0.18763795, 0.08173581, 0.035739284, 0.015686495, -0.12080327, -0.13109021, 499, 
10, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.39573085, 0.5922273, 0.47443834, 0.65226716, 0.38022566, 0.46450335, 0.61853546, 44.91979, -0.0022622354, 0.9923858, 0.432553, 0.187709, 0.081725016, 0.035699405, 0.01564621, -0.13091677, -0.13056752, 296, 
11, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.40952381, 0.5760341, 0.47871298, 0.67931026, 0.35979086, 0.48214215, 0.5868494, 44.65241, -0.0021043057, 0.9923858, 0.43323734, 0.18826324, 0.082062215, 0.035882153, 0.015739337, -0.13769773, -0.13221703, 324, 
12, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.4185275, 0.5573384, 0.47806045, 0.68226427, 0.3803151, 0.4781763, 0.5897818, 46.524067, -0.0023119363, 0.9923858, 0.43479013, 0.18960875, 0.082939394, 0.03639215, 0.016018253, -0.14367338, -0.13574858, 399, 
13, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.44472513, 0.5442367, 0.48947442, 0.68857574, 0.3619154, 0.46884543, 0.58426934, 45.454544, -0.0023350576, 0.9923858, 0.43510997, 0.18990733, 0.08314926, 0.036523685, 0.016095761, -0.15439141, -0.13599439, 488, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.46360442, 0.5437951, 0.50050807, 0.6904106, 0.37557998, 0.481006, 0.599925, 47.326202, -0.0037640252, 0.9923858, 0.4364131, 0.19102435, 0.08386784, 0.036934912, 0.016316567, -0.15853229, -0.13829213, 521, 
15, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.48210275, 0.5373178, 0.5082149, 0.7098268, 0.38523725, 0.4872348, 0.6081415, 48.12834, -0.003274435, 0.9923858, 0.4421151, 0.19613598, 0.087315544, 0.03900842, 0.017489275, -0.16724777, -0.15127134, 613, 
16, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.51961637, 0.5264243, 0.52299815, 0.7270754, 0.37357, 0.48065677, 0.6138697, 49.197857, -0.0024605938, 0.9923858, 0.44306216, 0.19689894, 0.08777488, 0.039253213, 0.017610973, -0.18279158, -0.15347625, 654, 
17, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.49317244, 0.4572354, 0.47452447, 0.71861523, 0.37805298, 0.46618503, 0.6060628, 48.663105, -0.0031430607, 0.9923858, 0.44615752, 0.19976181, 0.08976673, 0.04048869, 0.018331502, -0.19043209, -0.15973368, 693, 
18, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.51447105, 0.45532164, 0.48309252, 0.7224685, 0.37947044, 0.45806974, 0.6134631, 50.0, -0.0035364954, 0.9923858, 0.4479813, 0.20134944, 0.09080677, 0.041096557, 0.018665887, -0.19758208, -0.1634564, 595, 
19, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.52469134, 0.4504637, 0.48475248, 0.7228317, 0.37251744, 0.4504267, 0.61540836, 50.26738, -0.0038488437, 0.9923858, 0.44932342, 0.20257203, 0.09164384, 0.041607, 0.018958256, -0.20161517, -0.16584422, 628, 
20, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.54599565, 0.44560578, 0.490719, 0.7457951, 0.3657605, 0.44594437, 0.6101958, 50.802135, -0.003207594, 0.9923858, 0.44984928, 0.2030828, 0.092015885, 0.04184793, 0.019104559, -0.21140176, -0.16687419, 662, 
21, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5548242, 0.43427056, 0.48720065, 0.7486162, 0.3577064, 0.40782112, 0.6022588, 51.069523, -0.0042517977, 0.9923858, 0.44919068, 0.20250061, 0.09162957, 0.041619938, 0.018978372, -0.21622628, -0.16482927, 695, 
22, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5619977, 0.43235683, 0.48872617, 0.75141114, 0.35095003, 0.3969288, 0.607139, 51.336895, -0.004199778, 0.9822335, 0.45432165, 0.20747727, 0.09526927, 0.043998584, 0.020443253, -0.21959502, -0.17575362, 643, 
23, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.56616515, 0.43206242, 0.49010605, 0.7630587, 0.34487695, 0.3951456, 0.59404224, 51.069523, -0.00428902, 0.97208124, 0.45585316, 0.20879534, 0.09611802, 0.044482958, 0.020701453, -0.220414, -0.17921296, 672, 
24, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.57487637, 0.42779332, 0.49054694, 0.772, 0.35799554, 0.36822703, 0.6097812, 51.60428, -0.0045408094, 0.97208124, 0.45811498, 0.21088655, 0.09757301, 0.04538566, 0.021228047, -0.22460511, -0.18406843, 702, 
25, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5939345, 0.42955983, 0.49854776, 0.785112, 0.37282416, 0.37906712, 0.6206918, 54.278076, -0.0041683796, 0.97208124, 0.45846626, 0.21118292, 0.0977589, 0.04548802, 0.021279976, -0.23110656, -0.1850013, 922, 
26, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.60257477, 0.4272045, 0.499957, 0.7868874, 0.3703837, 0.3765011, 0.62640035, 54.812836, -0.0044612573, 0.9593909, 0.45960304, 0.21219403, 0.09843235, 0.045885958, 0.021499885, -0.2339393, -0.1875875, 859, 
27, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.60356396, 0.42381865, 0.4979677, 0.7987887, 0.38155147, 0.3877366, 0.6315879, 54.54545, -0.0035462722, 0.9390863, 0.46139354, 0.21410647, 0.09995275, 0.046954416, 0.022200963, -0.237797, -0.19150266, 997, 
28, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6060347, 0.41689974, 0.49398223, 0.79929715, 0.37877843, 0.39968866, 0.63100183, 53.47594, -0.00454636, 0.92893404, 0.47049662, 0.22578804, 0.111415744, 0.057120766, 0.030775484, -0.23987773, -0.20617509, 819, 
29, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6272432, 0.42705727, 0.50814503, 0.8119852, 0.39895156, 0.40357548, 0.643688, 57.48663, -0.004390257, 0.92893404, 0.4746307, 0.2298004, 0.11431567, 0.05896247, 0.03185142, -0.24468912, -0.2149324, 737, 
30, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.64816475, 0.4263212, 0.51434153, 0.8106492, 0.4201953, 0.42283827, 0.6655057, 58.823524, -0.0043805884, 0.92893404, 0.47885326, 0.23360173, 0.11684576, 0.060423885, 0.03261002, -0.2522231, -0.22424342, 1105, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.65921533, 0.42543796, 0.5171334, 0.82163155, 0.42886302, 0.42920715, 0.67849666, 59.625668, -0.0046931137, 0.93147206, 0.4821521, 0.23661835, 0.11889096, 0.061630942, 0.033252876, -0.25514248, -0.23146749, 1143, 
32, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6604205, 0.42543796, 0.5175038, 0.82313365, 0.41942933, 0.42920715, 0.66126186, 59.625668, -0.004805941, 0.92893404, 0.46785998, 0.22994366, 0.115676835, 0.06001535, 0.032393955, -0.2556387, -0.25695646, 1181, 
33, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6066058, 0.3325482, 0.4295902, 0.7926818, 0.4314691, 0.42341042, 0.666461, 59.09091, -0.004410904, 0.92893404, 0.4703665, 0.23209518, 0.11712839, 0.06087941, 0.032859385, -0.2695357, -0.2596849, 1340, 
34, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.6057955, 0.32621816, 0.42407426, 0.7921951, 0.4166491, 0.3985519, 0.66469204, 58.556152, -0.005874615, 0.9137056, 0.4687692, 0.23016338, 0.115512155, 0.059685152, 0.032025054, -0.269251, -0.25455225, 1511, 
35, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.615956, 0.329604, 0.42942083, 0.79962283, 0.42211792, 0.39628693, 0.6747386, 58.556152, -0.007089611, 0.88324875, 0.46959114, 0.23067632, 0.11575312, 0.059750978, 0.03199637, -0.26344997, -0.25458512, 1555, 
