Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
10, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.17974383, 0.7592941, 0.29067713, 0.3187421, 0.30704722, 0.68104434, 0.35736206, 43.20809, -4.4275745E-4, 0.08507671, 0.4448132, 0.24848159, 0.1394382, 0.0785911, 0.044483118, -0.26237708, -0.3818427, 1575, 
11, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.17907748, 0.74043715, 0.28840348, 0.31976607, 0.3411589, 0.67426276, 0.38755205, 43.06358, -4.170568E-4, 0.09205021, 0.4518646, 0.2507478, 0.13979977, 0.07830215, 0.044054028, -0.26714736, -0.36387932, 1682, 
12, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.17975421, 0.74294543, 0.2894714, 0.32043228, 0.31514135, 0.66910386, 0.36718866, 43.06358, -7.007978E-4, 0.087866105, 0.45506486, 0.25005284, 0.13823481, 0.07686643, 0.042981606, -0.26733005, -0.34445605, 1737, 
13, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.17551628, 0.71911675, 0.28216416, 0.3173667, 0.33959147, 0.6630839, 0.3911645, 42.919075, -0.0012164081, 0.09902371, 0.46546677, 0.25741628, 0.14309666, 0.07994677, 0.044882502, -0.26678818, -0.34335652, 1987, 
14, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.16625614, 0.66814476, 0.2662585, 0.31094372, 0.32193515, 0.6607615, 0.360804, 42.919075, -0.0012491118, 0.25244072, 0.4422503, 0.2502152, 0.14230318, 0.08135283, 0.046749674, -0.26145247, -0.40241474, 2130, 
15, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.16733354, 0.66684586, 0.267534, 0.31177688, 0.3073891, 0.65756696, 0.349534, 43.06358, -0.0011133564, 0.2608089, 0.4480509, 0.2522181, 0.14271717, 0.08118097, 0.04642199, -0.26291025, -0.38861993, 2273, 
16, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.16734107, 0.66684586, 0.26754364, 0.31179088, 0.29234394, 0.65756696, 0.3318548, 43.20809, -0.0011133564, 0.2608089, 0.42809254, 0.2472666, 0.14472926, 0.08596176, 0.051873796, -0.26291904, -0.43162316, 2260, 
17, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.22336742, 0.6416286, 0.33137476, 0.42453066, 0.33135867, 0.65106225, 0.37153888, 48.843933, -0.001651314, 0.37238494, 0.44526166, 0.26303127, 0.1578179, 0.09625713, 0.059711248, -0.2657587, -0.4280496, 2392, 
18, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.21779588, 0.6153812, 0.32172626, 0.42229393, 0.33887044, 0.6469858, 0.37743175, 48.69942, -0.0021772566, 0.38214785, 0.45002592, 0.26412246, 0.15743326, 0.0953987, 0.05880653, -0.26797646, -0.4125156, 2526, 
19, WeightMethod, 0.0, 0, 0, CosineDistance, 1, 18046, initial table, 0.22432049, 0.6358058, 0.33163562, 0.4282534, 0.34024662, 0.64882356, 0.38015565, 49.277454, -0.0021516057, 0.36959553, 0.46151486, 0.273068, 0.16368929, 0.09949604, 0.061364017, -0.26776263, -0.41624215, 3571, 
