, Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityreg1.0, IntraSimilarityreg2.0, IntraSimilarityreg3.0, IntraSimilarityreg4.0, IntraSimilarityreg5.0, Time Taken(ms)
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.65921533, 0.42543796, 0.5171334, 0.82163155, 0.42886302, 0.42920715, 0.67849666, 59.625668, -0.0046931137, 0.93147206, 0.4821521, 0.23661835, 0.11889096, 0.061630942, 0.033252876, 1107
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 2, 0.65921533, 0.42543796, 0.5171334, 0.82163155, 0.42886302, 0.42920715, 0.67849666, 59.625668, -0.0046931137, 0.93147206, 0.4821521, 0.23661835, 0.11889096, 0.061630942, 0.033252876, 1084
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 1, 0.51400405, 0.33770058, 0.40760487, 0.7277994, 0.40492344, 0.43233004, 0.6301778, 49.46524, -0.006074279, 0.9010152, 0.46067533, 0.22257072, 0.10940857, 0.05487339, 0.02816412, 936
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 2, 0.51400405, 0.33770058, 0.40760487, 0.7277994, 0.40492344, 0.43233004, 0.6301778, 49.46524, -0.006074279, 0.9010152, 0.46067533, 0.22257072, 0.10940857, 0.05487339, 0.02816412, 929
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5467512, 0.35551304, 0.43086532, 0.7372559, 0.46041626, 0.4470003, 0.6845315, 53.743317, -0.008024755, 0.93401015, 0.49865168, 0.25656536, 0.13711378, 0.07651802, 0.044709004, 1047
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 2, 0.5467512, 0.35551304, 0.43086532, 0.7372559, 0.46041626, 0.4470003, 0.6845315, 53.743317, -0.008024755, 0.93401015, 0.49865168, 0.25656536, 0.13711378, 0.07651802, 0.044709004, 1047
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 1, 0.6320918, 0.42970705, 0.51161164, 0.80360603, 0.41077477, 0.4517685, 0.65031356, 56.95187, -0.0043632057, 0.93654823, 0.46404305, 0.22710583, 0.11418456, 0.059463914, 0.03236572, 816
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 2, 0.6320918, 0.42970705, 0.51161164, 0.80360603, 0.41077477, 0.4517685, 0.65031356, 56.95187, -0.0043632057, 0.93654823, 0.46404305, 0.22710583, 0.11418456, 0.059463914, 0.03236572, 814
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 1, 0.6316133, 0.42705727, 0.5095732, 0.804518, 0.45924383, 0.502178, 0.68278605, 59.09091, -0.006624783, 0.9441624, 0.47127452, 0.23322071, 0.1178222, 0.061102003, 0.032725904, 815
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 2, 0.6316133, 0.42705727, 0.5095732, 0.804518, 0.45924383, 0.502178, 0.68278605, 59.09091, -0.006624783, 0.9441624, 0.47127452, 0.23322071, 0.1178222, 0.061102003, 0.032725904, 819
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 1, 0.47961453, 0.2857353, 0.35811806, 0.71617466, 0.4424544, 0.3997005, 0.6468849, 54.812836, -0.006472899, 0.9010152, 0.48006722, 0.23439682, 0.116776295, 0.05958765, 0.0312704, 702
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 2, 0.47961453, 0.2857353, 0.35811806, 0.71617466, 0.4424544, 0.3997005, 0.6468849, 54.812836, -0.006472899, 0.9010152, 0.48006722, 0.23439682, 0.116776295, 0.05958765, 0.0312704, 701
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 1, 0.6228013, 0.4221993, 0.5032462, 0.7905101, 0.38852763, 0.37801987, 0.64281565, 54.010696, -0.007284439, 0.9441624, 0.49357668, 0.25403413, 0.13785173, 0.079567656, 0.049010128, 699
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 2, 0.6228013, 0.4221993, 0.5032462, 0.7905101, 0.38852763, 0.37801987, 0.64281565, 54.010696, -0.007284439, 0.9441624, 0.49357668, 0.25403413, 0.13785173, 0.079567656, 0.049010128, 699
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 1, 0.60546786, 0.40100104, 0.48246545, 0.76947856, 0.45673674, 0.46394774, 0.64803636, 56.417114, -0.0065425336, 0.92893404, 0.4666426, 0.22891319, 0.11485749, 0.05934346, 0.03181246, 931
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 2, 0.60546786, 0.40100104, 0.48246545, 0.76947856, 0.45673674, 0.46394774, 0.64803636, 56.417114, -0.0065425336, 0.92893404, 0.4666426, 0.22891319, 0.11485749, 0.05934346, 0.03181246, 931
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 1, 0.47154683, 0.2683645, 0.34205836, 0.6827819, 0.42578906, 0.44657695, 0.6305537, 54.010696, -0.009622973, 0.9187817, 0.47302818, 0.2276096, 0.111850135, 0.056403685, 0.029342659, 931
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 2, 0.47154683, 0.2683645, 0.34205836, 0.6827819, 0.42578906, 0.44657695, 0.6305537, 54.010696, -0.009622973, 0.9187817, 0.47302818, 0.2276096, 0.111850135, 0.056403685, 0.029342659, 931
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 1, 0.6467123, 0.5009569, 0.56457907, 0.82366145, 0.41117066, 0.4509472, 0.65640587, 55.3476, -0.0056881737, 0.8959391, 0.49443167, 0.26165086, 0.14453861, 0.08387383, 0.051278505, 1168
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 2, 0.6467123, 0.5009569, 0.56457907, 0.82366145, 0.41117066, 0.4509472, 0.65640587, 55.3476, -0.0056881737, 0.8959391, 0.49443167, 0.26165086, 0.14453861, 0.08387383, 0.051278505, 1162
, 31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 1, 0.55817175, 0.47460622, 0.5130082, 0.7658437, 0.3664856, 0.42208737, 0.5990165, 54.278076, -0.009616458, 0.87309647, 0.46826446, 0.24033059, 0.12734215, 0.07016251, 0.04044452, 712
