Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, LogWeight EntropyWeight, 0.0, 0, 0, CosineDistance, 1, 0.25467998, 0.33446196, 0.2891689, 0.5357088, 0.35948247, 0.3854672, 0.4796119, 47.058823, -0.013409429, 0.9187817, 0.49306932, 0.37791458, 0.29052183, 0.2240365, 0.17332877, -0.120363966, -0.27913532, 1340, 
31, LogWeight EntropyWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 0.2553813, 0.34756365, 0.29442573, 0.5313231, 0.3574726, 0.39088416, 0.47897187, 46.524067, -0.013002767, 0.9187817, 0.5517121, 0.45087516, 0.36975464, 0.30430627, 0.25134817, -0.14643523, -0.30968475, 29111, 
31, LogWeight EntropyWeight, 0.0, 0, 0, DotDistance, 1, 0.08795503, 0.9973502, 0.16165401, 0.29705393, 0.0032575936, 0.8675722, 0.011001998, 17.914438, 0.0015542452, 0.0, 0.033562753, 0.03041438, 0.02756134, 0.024975931, 0.02263305, 0.06394794, 0.0010886465, 83435, 
31, LogWeight EntropyWeight, 0.0, 0, 0, EllenbergDistance, 1, 0.077152334, 0.47254527, 0.13264738, 0.3143152, 0.081979, 0.5703247, 0.10114871, 16.844923, -0.09083043, 0.27918783, 0.04862396, 0.012194027, 0.003053549, 7.635409E-4, 1.9059399E-4, 5.2788923E-6, 2.2014538E-6, 277502, 
31, LogWeight EntropyWeight, 0.0, 0, 0, UnbiasedEllenbergDistance, 1, 0.080482475, 0.7858089, 0.14601055, 0.31163684, 0.04260937, 0.8063043, 0.05080833, 16.310162, -0.17507374, 0.058375634, 0.031070683, 0.009865306, 0.003100286, 9.660152E-4, 2.9745413E-4, 4.026136E-4, -0.11230099, 35011, 
31, LogWeight EntropyWeight, 0.0, 0, 1, CosineDistance, 1, 0.28050223, 0.2795525, 0.28002656, 0.60882485, 0.3678213, 0.27602717, 0.4872383, 42.51337, -0.013539754, 0.92893404, 0.5135769, 0.3904582, 0.2977168, 0.22768368, 0.17466322, -0.124467224, -0.28188306, 951, 
31, LogWeight EntropyWeight, 0.0, 0, 1, ModifiedCosineDistance, 1, 0.2746887, 0.27925807, 0.27695453, 0.5969505, 0.37896058, 0.27520007, 0.49674717, 42.51337, -0.014860695, 0.9187817, 0.5667598, 0.458126, 0.37346718, 0.30639437, 0.25266233, -0.15009968, -0.28217438, 2869, 
31, LogWeight EntropyWeight, 0.0, 0, 1, DotDistance, 1, 0.08795503, 0.9973502, 0.16165401, 0.29705393, 0.0029318342, 0.8675722, 0.009901797, 17.914438, 0.0015998002, 0.0, 0.030040376, 0.027072724, 0.024398243, 0.021987973, 0.019815808, 0.07225662, 0.0013499531, 83178, 
31, LogWeight EntropyWeight, 0.0, 0, 1, EllenbergDistance, 1, 0.07913618, 0.49359635, 0.13640338, 0.30807328, 0.07094258, 0.590495, 0.084168084, 16.844923, -0.1322832, 0.02284264, 0.032592673, 0.00822858, 0.0020762384, 5.237971E-4, 1.3188877E-4, -7.2045596E-6, -7.372861E-7, 219711, 
31, LogWeight EntropyWeight, 0.0, 0, 1, UnbiasedEllenbergDistance, 1, 0.087741055, 1.0, 0.16132711, 0.29577824, 0.0028303566, 0.87096775, 0.009541234, 17.647058, NaN, 0.0, 0.014863847, 0.007010364, 0.003371903, 0.0016680462, 8.4121036E-4, NaN, 0.023006747, 18525, 
