Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 5, 1, 0.34663865, 0.2186074, 0.26812312, 0.5714727, 0.39929467, 0.30360934, 0.61096925, 44.65241, -0.11591306, 0.92639595, 0.42996415, 0.22316988, 0.12241548, 0.071071036, 0.04355414, -0.10784135, -0.31716424, 253, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 5, 2, 0.3059394, 0.18577948, 0.23117788, 0.56279093, 0.401666, 0.29671794, 0.633761, 43.315506, -0.10970323, 0.93654823, 0.45073628, 0.23612747, 0.13042684, 0.07605645, 0.046712764, -0.09610503, -0.30471402, 212, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 1, 0.4225039, 0.27969968, 0.33658102, 0.66920865, 0.43988308, 0.29369265, 0.66049695, 49.197857, -0.07517047, 0.9213198, 0.4816569, 0.24962586, 0.13537711, 0.07707461, 0.04609933, -0.14024553, -0.2626252, 318, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 2, 0.41694352, 0.2586486, 0.31925136, 0.71022475, 0.41814673, 0.2949141, 0.61642647, 48.663105, -0.0760744, 0.93654823, 0.47835475, 0.2601204, 0.1511281, 0.09375909, 0.06176462, -0.13867661, -0.3045619, 389, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 15, 1, 0.47848666, 0.28485206, 0.35710993, 0.7279643, 0.44278947, 0.37399623, 0.6623401, 52.139038, -0.061102297, 0.9187817, 0.47650498, 0.24294157, 0.12869489, 0.070997804, 0.040820003, -0.17204276, -0.25891346, 700, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 15, 2, 0.4195641, 0.23803915, 0.3037475, 0.7051188, 0.46744275, 0.41299242, 0.6552164, 52.673794, -0.07244161, 0.9390863, 0.4864312, 0.2670071, 0.15509428, 0.0951284, 0.06124156, -0.16546483, -0.32550433, 704, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 20, 1, 0.5164305, 0.25217137, 0.3388724, 0.74940854, 0.41647527, 0.39358428, 0.63724494, 51.87166, -0.03800635, 0.9441624, 0.48054102, 0.24709691, 0.13210376, 0.073606744, 0.042753, -0.21962604, -0.2675839, 700, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 20, 2, 0.45221648, 0.23126748, 0.30602902, 0.6989527, 0.4187615, 0.33442688, 0.64708716, 48.663105, -0.0423687, 0.92893404, 0.48868692, 0.2579273, 0.14300014, 0.083430074, 0.051118456, -0.20418051, -0.2813806, 701, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 25, 1, 0.5027716, 0.2670396, 0.3488126, 0.72282743, 0.4621158, 0.39359644, 0.69066024, 56.684494, -0.03076785, 0.9568528, 0.49999073, 0.2585353, 0.13911727, 0.078299955, 0.04622245, -0.21300721, -0.25444943, 950, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 25, 2, 0.4958129, 0.2527602, 0.3348284, 0.6944801, 0.40949345, 0.35963795, 0.6377997, 52.139038, -0.03151546, 0.9492386, 0.4627181, 0.23570645, 0.1242144, 0.06797872, 0.0387244, -0.2164319, -0.29313138, 1049, 
