Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 9540, initial table, 0.32047385, 0.24321744, 0.27655149, 0.7500947, 0.2540941, 0.226022, 0.5401397, 44.254105, -0.0124753155, 0.7977685, 0.49707866, 0.32057926, 0.20839922, 0.13669883, 0.090585195, -0.27745974, -0.391528, 115533, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 245, 95% concept, 0.3492569, 0.2355796, 0.28137025, 0.7706107, 0.24788472, 0.2274217, 0.5843482, 46.252674, -0.011946408, 0.8026499, 0.5315354, 0.34137285, 0.22093041, 0.14424211, 0.09514545, -0.28747746, -0.35155055, 2177, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 9540, 95% aprox, 0.3492569, 0.2355796, 0.28137025, 0.7706107, 0.24788472, 0.2274217, 0.5843482, 46.252674, -0.011946408, 0.8026499, 0.5315354, 0.34137285, 0.22093041, 0.14424211, 0.09514545, -0.28747746, -0.35155055, 52609, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 27, n*m^0.2 concept, 0.34546342, 0.22507757, 0.2725696, 0.7686451, 0.23641056, 0.15066026, 0.6373961, 43.54033, -0.029635897, 0.7566248, 0.5608961, 0.35948643, 0.23333381, 0.15351732, 0.102501996, -0.27506098, -0.31305325, 224, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 9540, n*m^0.2 aprox, 0.34546342, 0.22507757, 0.2725696, 0.7686451, 0.23641056, 0.15066026, 0.6373961, 43.54033, -0.029635897, 0.7566248, 0.5608961, 0.35948643, 0.23333381, 0.15351732, 0.102501996, -0.27506098, -0.31305325, 63457, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1337, kaiser concept, 0.32304806, 0.246559, 0.2796679, 0.74453914, 0.24727122, 0.22763814, 0.5385834, 44.468235, -0.012759635, 0.8019526, 0.49959794, 0.3218608, 0.20900185, 0.1369322, 0.09062045, -0.2760653, -0.38809308, 9660, 
210, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 9540, kaiser aprox, 0.32304806, 0.246559, 0.2796679, 0.74453914, 0.24727122, 0.22763814, 0.5385834, 44.468235, -0.012759635, 0.8019526, 0.49959794, 0.3218608, 0.20900185, 0.1369322, 0.09062045, -0.2760653, -0.38809308, 68180, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 9540, initial table, 0.30242002, 0.29031745, 0.2962452, 0.75208175, 0.28226584, 0.23733279, 0.55597675, 47.89436, -0.0112606725, 0.7670851, 0.49278855, 0.3093777, 0.19574071, 0.124907464, 0.08046466, -0.2772201, -0.39566588, 73336, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 252, 95% concept, 0.3387721, 0.25769752, 0.2927248, 0.743915, 0.27005795, 0.22161727, 0.5893303, 46.538185, -0.011504201, 0.7656904, 0.531949, 0.33272392, 0.20986502, 0.1335726, 0.08584787, -0.2903886, -0.34850612, 1276, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 9540, 95% aprox, 0.3387721, 0.25769752, 0.2927248, 0.743915, 0.27005795, 0.22161727, 0.5893303, 46.538185, -0.011504201, 0.7656904, 0.531949, 0.33272392, 0.20986502, 0.1335726, 0.08584787, -0.2903886, -0.34850612, 47104, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 27, n*m^0.2 concept, 0.3600778, 0.23565917, 0.28487617, 0.7739625, 0.23433352, 0.15819709, 0.6233302, 42.96931, -0.027055517, 0.7733612, 0.5282897, 0.3278301, 0.20604321, 0.13123567, 0.08477447, -0.28334656, -0.32836416, 149, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 9540, n*m^0.2 aprox, 0.3600778, 0.23565917, 0.28487617, 0.7739625, 0.23433352, 0.15819709, 0.6233302, 42.96931, -0.027055517, 0.7733612, 0.5282897, 0.3278301, 0.20604321, 0.13123567, 0.08477447, -0.28334656, -0.32836416, 41842, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1363, kaiser concept, 0.30443782, 0.29254514, 0.298373, 0.75754577, 0.28063038, 0.22982106, 0.5551333, 47.751606, -0.011060069, 0.7726639, 0.4929907, 0.3095874, 0.19590028, 0.12501185, 0.080525495, -0.27732643, -0.39614093, 10524, 
210, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 9540, kaiser aprox, 0.30443782, 0.29254514, 0.298373, 0.75754577, 0.28063038, 0.22982106, 0.5551333, 47.751606, -0.011060069, 0.7726639, 0.4929907, 0.3095874, 0.19590028, 0.12501185, 0.080525495, -0.27732643, -0.39614093, 73511, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 9540, initial table, 0.3342759, 0.2633463, 0.29460192, 0.75598204, 0.26569626, 0.24884619, 0.55765784, 46.895073, -0.010956922, 0.7712692, 0.5106449, 0.32582584, 0.20918323, 0.13521868, 0.08807332, -0.2766384, -0.38569993, 62870, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 252, 95% concept, 0.36211002, 0.24194446, 0.29007488, 0.76849735, 0.3102744, 0.25681725, 0.6241806, 48.75089, -0.012116545, 0.7663877, 0.54447335, 0.34806806, 0.22410801, 0.14548337, 0.0953543, -0.28290975, -0.35100907, 1562, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 9540, 95% aprox, 0.36211002, 0.24194446, 0.29007488, 0.76849735, 0.3102744, 0.25681725, 0.6241806, 48.75089, -0.012116545, 0.7663877, 0.54447335, 0.34806806, 0.22410801, 0.14548337, 0.0953543, -0.28290975, -0.35100907, 57652, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 27, n*m^0.2 concept, 0.34679753, 0.21926963, 0.26866835, 0.76221395, 0.22449276, 0.16924435, 0.61081254, 44.111347, -0.028434621, 0.79079497, 0.53095615, 0.33463985, 0.21338968, 0.13768448, 0.08991039, -0.27402818, -0.32942057, 149, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 9540, n*m^0.2 aprox, 0.34679753, 0.21926963, 0.26866835, 0.76221395, 0.22449276, 0.16924435, 0.61081254, 44.111347, -0.028434621, 0.79079497, 0.53095615, 0.33463985, 0.21338968, 0.13768448, 0.08991039, -0.27402818, -0.32942057, 41848, 
210, LogWeight NoGlobalWeight, 0.0, 5, 0, CosineDistance, 1, 1353, kaiser concept, 0.3330316, 0.2634259, 0.29416728, 0.75405526, 0.26879016, 0.25350264, 0.55593246, 46.752323, -0.012183447, 0.78521615, 0.50814855, 0.32463062, 0.20872247, 0.13516043, 0.088223696, -0.27537185, -0.38979372, 8202, 
