Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1229, initial table, 0.2742616, 0.3127148, 0.2922286, 0.43002966, 0.40295613, 0.33394647, 0.47319967, 42.364532, -0.009691444, 0.87782806, 0.6249854, 0.3914588, 0.24571759, 0.1545643, 0.09743042, -0.19971268, -0.19589432, 95, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 53, 95% concept, 0.33309197, 0.3161512, 0.32440057, 0.41757324, 0.33309183, 0.29830596, 0.39940953, 45.320194, -0.02303983, 0.8597285, 0.60172933, 0.3800287, 0.24097723, 0.15343085, 0.09809668, -0.17083143, -0.20544553, 6, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1229, 95% aprox, 0.33309197, 0.3161512, 0.32440057, 0.41757324, 0.33309183, 0.29830596, 0.39940953, 45.320194, -0.02303983, 0.8597285, 0.60172933, 0.3800287, 0.24097723, 0.15343085, 0.09809668, -0.17083143, -0.20544553, 131, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 12, n*m^0.2 concept, 0.35471976, 0.3305842, 0.34222698, 0.41513157, 0.2926442, 0.31172225, 0.35715577, 48.275864, -0.034251895, 0.9411765, 0.5787478, 0.3693692, 0.23738575, 0.15364188, 0.10014997, -0.14629196, -0.22112393, 1, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1229, n*m^0.2 aprox, 0.35471976, 0.3305842, 0.34222698, 0.41513157, 0.2926442, 0.31172225, 0.35715577, 48.275864, -0.034251895, 0.9411765, 0.5787478, 0.3693692, 0.23738575, 0.15364188, 0.10014997, -0.14629196, -0.22112393, 95, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 218, kaiser concept, 0.2742616, 0.3127148, 0.2922286, 0.43002966, 0.40295613, 0.33394647, 0.47319967, 42.364532, -0.009691444, 0.87782806, 0.6249854, 0.3914588, 0.24571759, 0.1545643, 0.09743042, -0.19971268, -0.19589432, 17, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 1229, kaiser aprox, 0.2742616, 0.3127148, 0.2922286, 0.43002966, 0.40295613, 0.33394647, 0.47319967, 42.364532, -0.009691444, 0.87782806, 0.6249854, 0.3914588, 0.24571759, 0.1545643, 0.09743042, -0.19971268, -0.19589432, 96, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1229, initial table, 0.2858086, 0.2975945, 0.29158247, 0.43157536, 0.34968194, 0.3099666, 0.4094878, 42.85714, -0.012317411, 0.8959276, 0.57262534, 0.3455768, 0.21023236, 0.1289168, 0.0796782, -0.2934787, -0.26757526, 238, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 53, 95% concept, 0.32607117, 0.30859107, 0.3170904, 0.4077725, 0.32267183, 0.2941524, 0.38902515, 44.334976, -0.024083106, 0.8642534, 0.5792793, 0.35546967, 0.22116451, 0.13958332, 0.089386865, -0.2568172, -0.29793406, 7, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1229, 95% aprox, 0.32299545, 0.2934708, 0.3075261, 0.41711023, 0.31325173, 0.28232768, 0.38504344, 41.37931, -0.021361299, 0.8687783, 0.602636, 0.36778218, 0.2273789, 0.14243291, 0.09040139, -0.27091086, -0.2713158, 96, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 12, n*m^0.2 concept, 0.3474074, 0.32233676, 0.33440286, 0.40784094, 0.31443906, 0.31148422, 0.39212683, 48.76847, -0.032810997, 0.94570136, 0.6009598, 0.38597363, 0.2533068, 0.16974455, 0.11603636, -0.21751408, -0.3142907, 2, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1229, n*m^0.2 aprox, 0.38353908, 0.32027492, 0.34906363, 0.4519221, 0.32983565, 0.31882414, 0.39912137, 49.753696, -0.028686428, 0.8914027, 0.5915283, 0.3730219, 0.23969124, 0.15679796, 0.10432031, -0.23670456, -0.30097196, 132, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 218, kaiser concept, 0.2723298, 0.29965636, 0.2853403, 0.4268184, 0.350472, 0.31328878, 0.42359078, 41.37931, -0.0113558695, 0.88687783, 0.5935861, 0.35576102, 0.21522702, 0.13139233, 0.080918826, -0.3073408, -0.27175364, 15, 
23, LogWeight NoGlobalWeight, 0.0, 0, 0, ModifiedCosineDistance, 1, 1229, kaiser aprox, 0.27402356, 0.30378008, 0.28813562, 0.4273628, 0.36540708, 0.3311886, 0.43827176, 41.87192, -0.011427759, 0.8687783, 0.5949697, 0.3573036, 0.21652265, 0.13236429, 0.08160587, -0.30545002, -0.27454937, 84, 
23, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 1229, initial table, 0.28541225, 0.371134, 0.32267702, 0.4513284, 0.46125326, 0.35529414, 0.5208929, 46.79803, -0.0077199303, 0.9004525, 0.58081853, 0.35363698, 0.21589893, 0.1321659, 0.08112614, -0.21802197, -0.23404172, 95, 
