Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 7290, initial table, 0.10165713, 0.35671446, 0.15822345, 0.29410073, 0.2651443, 0.3934892, NaN, 34.707157, -0.013602456, 0.5165975, 0.5275485, 0.33024108, 0.2076036, 0.1310883, 0.08316079, -0.1688426, -0.30402076, 3131, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 154, 95% concept, 0.17872436, 0.20677966, 0.19173115, 0.2939482, 0.26309612, 0.31069645, NaN, 36.44252, -0.015703762, 0.8443983, 0.57504314, 0.3596868, 0.2258812, 0.14241019, 0.090132944, -0.17995422, -0.23806953, 70, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 7290, 95% aprox, 0.17872436, 0.20677966, 0.19173115, 0.2939482, 0.26309612, 0.31069645, NaN, 36.44252, -0.015703762, 0.8443983, 0.57504314, 0.3596868, 0.2258812, 0.14241019, 0.090132944, -0.17995422, -0.23806953, 3147, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 20, n*m^0.2 concept, 0.2432136, 0.23129074, 0.23710237, 0.3787315, 0.33830377, 0.34357983, NaN, 42.733185, -0.0247042, 0.8879668, 0.5783284, 0.36539194, 0.2328867, 0.14981058, 0.09732454, -0.17795545, -0.2440407, 20, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 7290, n*m^0.2 aprox, 0.2432136, 0.23129074, 0.23710237, 0.3787315, 0.33830377, 0.34357983, NaN, 42.733185, -0.0247042, 0.8879668, 0.5783284, 0.36539194, 0.2328867, 0.14981058, 0.09732454, -0.17795545, -0.2440407, 5307, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 481, kaiser concept, 0.10165713, 0.35671446, 0.15822345, 0.29410073, 0.2651443, 0.3934892, NaN, 34.707157, -0.013602456, 0.5165975, 0.5275485, 0.33024108, 0.2076036, 0.1310883, 0.08316079, -0.1688426, -0.30402076, 225, 
52, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 7290, kaiser aprox, 0.10165713, 0.35671446, 0.15822345, 0.29410073, 0.2651443, 0.3934892, NaN, 34.707157, -0.013602456, 0.5165975, 0.5275485, 0.33024108, 0.2076036, 0.1310883, 0.08316079, -0.1688426, -0.30402076, 3195, 
52, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 7290, initial table, 0.11768991, 0.29491526, 0.16824098, 0.2820783, 0.26761422, 0.4220323, NaN, 32.104122, -0.008841039, 0.6016598, 0.50952685, 0.3151936, 0.19578506, 0.12214119, 0.07654503, -0.16790882, -0.313657, 4639, 
52, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 160, 95% concept, 0.19747587, 0.2774446, 0.23072754, 0.3835728, 0.2373903, 0.35458428, NaN, 37.527115, -0.016109891, 0.8340249, 0.57740873, 0.35542363, 0.21975526, 0.13646379, 0.08510096, -0.16846952, -0.22278064, 146, 
52, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 7290, 95% aprox, 0.19747587, 0.2774446, 0.23072754, 0.3835728, 0.2373903, 0.35458428, NaN, 37.527115, -0.016109891, 0.8340249, 0.57740873, 0.35542363, 0.21975526, 0.13646379, 0.08510096, -0.16846952, -0.22278064, 6364, 
