Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 0.50932676, 0.5575605 (10), 0.26210803, 0.3593405 (10), 0.34515196, 0.43702444 (10), 0.7303764, 0.7683586 (10), 0.42458302, 0.510015 (10), 0.3944698, 0.44478822 (10), 0.65091723, 0.7351397 (10), 55.026733, 57.75401 (10), -0.008604693, -0.0067785056 (10), 0.94340104, 0.97969544 (10), 0.47409955, 0.5024514 (10), 0.23243122, 0.2609975 (10), 0.11635649, 0.14114484 (10), 0.05974601, 0.07995851 (10), 0.03163118, 0.047635198 (10), -0.23156404, -0.2171391 (10), -0.23871946, -0.19981931 (10), 11320, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 0.53026557, 0.71350914 (10), 0.29623142, 0.52171355 (10), 0.37845778, 0.6027211 (10), 0.7367924, 0.8308514 (10), 0.39645052, 0.42132747 (10), 0.3757286, 0.46741772 (10), 0.62955797, 0.6725769 (10), 54.759357, 59.09091 (10), -0.008157198, -0.0053258077 (10), 0.93908626, 0.9517766 (10), 0.4697984, 0.49978283 (10), 0.23293705, 0.25942588 (10), 0.11910935, 0.14140688 (10), 0.06327115, 0.08187148 (10), 0.035173286, 0.050805874 (10), -0.22108522, -0.20355797 (10), -0.2497539, -0.21632406 (10), 10774, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 0.5055107, 0.66505706 (10), 0.27727073, 0.4460474 (10), 0.3572054, 0.53396773 (10), 0.7217628, 0.8104493 (10), 0.40479094, 0.4564679 (10), 0.38565564, 0.5218899 (10), 0.64168805, 0.6833036 (10), 54.010693, 58.288773 (10), -0.008993977, -0.0069899303 (10), 0.94492376, 0.9568528 (10), 0.47620076, 0.4938887 (10), 0.2332751, 0.25233057 (10), 0.11691747, 0.13498035 (10), 0.060283016, 0.07665727 (10), 0.032185107, 0.0467936 (10), -0.21852037, -0.19895424 (10), -0.23129134, -0.2020138 (10), 10525, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 0.5293178, 0.68179655 (10), 0.29464155, 0.42234653 (10), 0.37813026, 0.5215889 (10), 0.73111725, 0.8181549 (10), 0.40825218, 0.47576195 (10), 0.39964113, 0.45682886 (10), 0.6595942, 0.717531 (10), 54.652405, 57.75401 (10), -0.009244275, -0.007299452 (10), 0.94086295, 0.964467 (10), 0.4750476, 0.49009147 (10), 0.23324163, 0.24568449 (10), 0.117400765, 0.1278652 (10), 0.060936578, 0.069416426 (10), 0.032825287, 0.03947351 (10), -0.22350943, -0.19013181 (10), -0.23465994, -0.20190708 (10), 10747, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 10, 0.5580321, 0.67686385 (10), 0.32876495, 0.4918298 (10), 0.41241893, 0.569699 (10), 0.75436544, 0.81833714 (10), 0.40333587, 0.44766906 (10), 0.3919228, 0.46569595 (10), 0.64766204, 0.6920945 (10), 54.625664, 57.48663 (10), -0.008198259, -0.005490939 (10), 0.9413706, 0.97461927 (10), 0.47696438, 0.49397555 (10), 0.23517366, 0.2501845 (10), 0.11897097, 0.13067289 (10), 0.062168635, 0.070801005 (10), 0.03381189, 0.040346783 (10), -0.21822245, -0.2027421 (10), -0.23864631, -0.2040095 (10), 10669, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 10, 0.5225998, 0.5755111 (10), 0.28146622, 0.38539672 (10), 0.36504632, 0.46164697 (10), 0.7199271, 0.7757546 (10), 0.39787453, 0.45692754 (10), 0.3438785, 0.40645325 (10), 0.6484653, 0.7071542 (10), 53.68984, 57.219254 (10), -0.009063436, -0.0063972166 (10), 0.9403554, 0.97715735 (10), 0.4756456, 0.49721506 (10), 0.23128016, 0.25312054 (10), 0.1146585, 0.13534044 (10), 0.058252342, 0.076672524 (10), 0.030530876, 0.04660525 (10), -0.21577159, -0.19703817 (10), -0.225276, -0.19895408 (10), 10964, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 10, 0.5634743, 0.65584266 (10), 0.32249373, 0.4829972 (10), 0.40796208, 0.54953516 (10), 0.75290287, 0.801665 (10), 0.40150076, 0.46420982 (10), 0.398777, 0.44822407 (10), 0.6494486, 0.69293815 (10), 55.16043, 58.288773 (10), -0.008121936, -0.0044925516 (10), 0.9332487, 0.9593909 (10), 0.47882184, 0.50471836 (10), 0.23555884, 0.26540592 (10), 0.11896209, 0.1467964 (10), 0.062107433, 0.08606982 (10), 0.03378338, 0.053677633 (10), -0.22672434, -0.20629172 (10), -0.23177151, -0.20897815 (10), 10461, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 10, 0.5126379, 0.6434783 (10), 0.27877226, 0.41395554 (10), 0.3604257, 0.5038072 (10), 0.7372555, 0.7930209 (10), 0.42014098, 0.45676395 (10), 0.3961761, 0.47078976 (10), 0.65196127, 0.7046515 (10), 55.69519, 59.09091 (10), -0.007966571, -0.0064684134 (10), 0.9385787, 0.96954316 (10), 0.4742292, 0.4847727 (10), 0.235533, 0.25106984 (10), 0.12055222, 0.13543262 (10), 0.064092234, 0.076571845 (10), 0.035686933, 0.04826449 (10), -0.21673818, -0.19199054 (10), -0.24846268, -0.21385425 (10), 11190, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 10, 0.5013597, 0.654818 (10), 0.2748859, 0.4501693 (10), 0.35331035, 0.5335427 (10), 0.72203994, 0.7891562 (10), 0.40466538, 0.473212 (10), 0.3922326, 0.4670662 (10), 0.623382, 0.70050794 (10), 53.636364, 57.48663 (10), -0.008403906, -0.0068322276 (10), 0.9413706, 0.97208124 (10), 0.47278175, 0.4961134 (10), 0.23163433, 0.25522983 (10), 0.11632238, 0.13789424 (10), 0.06026979, 0.07929235 (10), 0.032460935, 0.04902897 (10), -0.21146306, -0.18716656 (10), -0.23628409, -0.21959525 (10), 10874, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 10, 0.50443804, 0.63806045 (10), 0.32427496, 0.4629766 (10), 0.3933253, 0.53659785 (10), 0.7101401, 0.78375906 (10), 0.3992979, 0.46291834 (10), 0.42879325, 0.47104782 (10), 0.63936454, 0.69139653 (10), 54.224598, 58.556152 (10), -0.010296563, -0.007233526 (10), 0.9286801, 0.9543147 (10), 0.49339223, 0.5207736 (10), 0.2609491, 0.28781295 (10), 0.14270793, 0.17179976 (10), 0.08136323, 0.111079216 (10), 0.04878651, 0.07842612 (10), -0.20002954, -0.13278164 (10), -0.2571588, -0.20771043 (10), 11257, 
