Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
77, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 19873, initial table, 0.07940908, 0.29223165, 0.12488322, 0.27729252, 0.22423838, 0.3165022, 0.28430787, 27.291668, -0.017025251, 0.35584676, 0.41326764, 0.31382108, 0.24526285, 0.19768564, 0.16444159, -0.25573307, -0.5225571, 24192, 
77, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 29, 95% concept, 0.13510655, 0.2185401, 0.16698135, 0.33282086, 0.27023736, 0.25618824, 0.339486, 35.520832, -0.017043523, 0.63508064, 0.62401605, 0.47482952, 0.37164798, 0.2989488, 0.24686949, -0.24699336, -0.3636727, 61, 
77, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 19873, 95% aprox, 0.13510655, 0.2185401, 0.16698135, 0.33282086, 0.27023736, 0.25618824, 0.339486, 35.520832, -0.017043523, 0.63508064, 0.62401605, 0.47482952, 0.37164798, 0.2989488, 0.24686949, -0.24699336, -0.3636727, 29719, 
77, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 992, n*m^0.2 concept, 0.07940908, 0.29223165, 0.12488322, 0.27729252, 0.22423838, 0.3165022, 0.28430787, 27.291668, -0.017025251, 0.35584676, 0.41326764, 0.31382108, 0.24526285, 0.19768564, 0.16444159, -0.25573307, -0.5225571, 1675, 
77, LogWeight NoGlobalWeight, 0.0, 0, 0, CosineDistance, 1, 19873, n*m^0.2 aprox, 0.07940908, 0.29223165, 0.12488322, 0.27729252, 0.22423838, 0.3165022, 0.28430787, 27.291668, -0.017025251, 0.35584676, 0.41326764, 0.31382108, 0.24526285, 0.19768564, 0.16444159, -0.25573307, -0.5225571, 24223, 
77, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 19873, initial table, 0.10465208, 0.25358003, 0.14815912, 0.29641682, 0.2472609, 0.28815448, 0.3252301, 30.416668, -0.009854202, 0.5604839, 0.48154885, 0.35929173, 0.27597514, 0.21874212, 0.17910293, -0.23968631, -0.4839301, 27020, 
77, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 29, 95% concept, 0.16462672, 0.23095933, 0.19223163, 0.3468447, 0.25783092, 0.27094126, 0.33517963, 36.458332, -0.0138821965, 0.7822581, 0.6322952, 0.47449896, 0.36791277, 0.29471123, 0.24365985, -0.24778374, -0.3640608, 58, 
77, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 19873, 95% aprox, 0.16462672, 0.23095933, 0.19223163, 0.3468447, 0.25783092, 0.27094126, 0.33517963, 36.458332, -0.0138821965, 0.7822581, 0.6322952, 0.47449896, 0.36791277, 0.29471123, 0.24365985, -0.24778374, -0.3640608, 29699, 
77, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 992, n*m^0.2 concept, 0.10465208, 0.25358003, 0.14815912, 0.29641682, 0.2472609, 0.28815448, 0.3252301, 30.416668, -0.009854202, 0.5604839, 0.48154885, 0.35929173, 0.27597514, 0.21874212, 0.17910293, -0.23968631, -0.4839301, 1852, 
77, LogWeight NoGlobalWeight, 0.0, 0, 3, CosineDistance, 1, 19873, n*m^0.2 aprox, 0.10465208, 0.25358003, 0.14815912, 0.29641682, 0.2472609, 0.28815448, 0.3252301, 30.416668, -0.009854202, 0.5604839, 0.48154885, 0.35929173, 0.27597514, 0.21874212, 0.17910293, -0.23968631, -0.4839301, 26998, 
