Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.5860058, 0.46420324, 0.51804125, 0.69023335, 0.6107195, 0.6848739, 0.6932951, 65.88235, -0.0033550235, 0.8229167, 0.9908147, 0.9817275, 0.97273713, 0.9638424, 0.9550424, -0.021944566, -0.02209112, 6, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 2, 0.5, 0.41801387, 0.45534593, 0.62315875, 0.7199439, 0.7452468, 0.7958377, 65.88235, -0.020372285, 0.6041667, 0.9915183, 0.9831243, 0.97481716, 0.96659553, 0.9584588, -0.020135986, -0.02481388, 3, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 3, 0.46612465, 0.39722863, 0.4289277, 0.58107525, 0.7410387, 0.7070263, 0.8098492, 64.70589, -0.0181437, 0.6666667, 0.99159783, 0.9832822, 0.97505224, 0.9669067, 0.9588448, -0.020081617, -0.025096312, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 1, 0.64776117, 0.5011547, 0.5651041, 0.73457724, 0.65415907, 0.76684844, 0.72338694, 70.588234, 1.0264816E-4, 0.8541667, 0.99125016, 0.98258483, 0.9740032, 0.9655046, 0.95708793, -0.021224877, -0.021327801, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 2, 0.58074534, 0.43187067, 0.4953642, 0.681936, 0.7117966, 0.7508859, 0.7908912, 70.588234, -0.008909852, 0.7708333, 0.99150956, 0.98310816, 0.97479475, 0.96656847, 0.9584281, -0.020050397, -0.023110505, 4, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 3, 0.5647668, 0.5034642, 0.5323565, 0.64399844, 0.78746766, 0.801451, 0.8376114, 71.76471, -0.01877389, 0.75, 0.99240935, 0.9848954, 0.9774572, 0.9700939, 0.9628047, -0.018777298, -0.02439763, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5214106, 0.47806004, 0.4987952, 0.5988666, 0.6939939, 0.7345562, 0.75019395, 68.23529, -0.0067771277, 0.7604167, 0.99255764, 0.98518217, 0.9778729, 0.97062916, 0.96345013, -0.019446228, -0.022636468, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 2, 0.4939759, 0.4734411, 0.48349056, 0.5652611, 0.6532312, 0.72879773, 0.7158447, 67.05882, -0.014551631, 0.6770833, 0.92090935, 0.9133229, 0.9058115, 0.8983738, 0.8910095, -0.018418, -0.023168117, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 3, 0.45925927, 0.4295612, 0.4439141, 0.5372429, 0.75391155, 0.6593742, 0.81289685, 67.05882, -0.008626625, 0.7916667, 0.9927432, 0.9855549, 0.97843456, 0.97138107, 0.9643939, -0.018415492, -0.024009919, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 1, 0.5801749, 0.4595843, 0.51288664, 0.68537426, 0.6279377, 0.7205881, 0.70019585, 65.88235, -4.738079E-4, 0.8125, 0.9911982, 0.98248434, 0.9738578, 0.96531737, 0.9568623, -0.02090662, -0.02162251, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 2, 0.42432433, 0.36258662, 0.39103365, 0.53491014, 0.6865813, 0.6956195, 0.75965726, 60.000004, -0.01317335, 0.7291667, 0.9911993, 0.9824883, 0.9738658, 0.96533096, 0.9568828, -0.019242791, -0.023109348, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 3, 0.51532036, 0.42725173, 0.4671717, 0.6079389, 0.7324289, 0.7434626, 0.7893418, 67.05882, -0.008112967, 0.7291667, 0.99169123, 0.9834666, 0.9753251, 0.96726596, 0.95928806, -0.019307913, -0.023893012, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 1, 0.64776117, 0.5011547, 0.5651041, 0.73457724, 0.65415907, 0.76684844, 0.72338694, 70.588234, -7.7262754E-4, 0.8541667, 0.9913356, 0.9827536, 0.97425306, 0.96583325, 0.9574935, -0.020490557, -0.02072469, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 2, 0.5988024, 0.46189377, 0.52151245, 0.6883735, 0.7388929, 0.7597933, 0.8101269, 71.76471, -0.01756871, 0.65625, 0.99104303, 0.9821822, 0.97341675, 0.9647451, 0.9561662, -0.018873123, -0.021951517, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 3, 0.4, 0.3926097, 0.3962704, 0.5103924, 0.6801175, 0.73907894, 0.7630385, 58.823524, -0.01939277, 0.75, 0.9909634, 0.98202986, 0.9731979, 0.9644662, 0.95583385, -0.017366387, -0.022125062, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 1, 0.56041133, 0.5034642, 0.5304136, 0.63517576, 0.70889014, 0.7562726, 0.7642446, 70.588234, -0.005229419, 0.8229167, 0.99264157, 0.9853477, 0.97811764, 0.9709508, 0.9638466, -0.019011106, -0.022077646, 0, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 2, 0.5235732, 0.48729792, 0.50478464, 0.5911911, 0.65637904, 0.7335073, 0.71792233, 68.23529, -0.005619926, 0.6770833, 0.9208664, 0.9132374, 0.9056838, 0.8982045, 0.89079905, -0.018014112, -0.02251044, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 3, 0.47058824, 0.44341803, 0.45659932, 0.54881537, 0.76031744, 0.66408366, 0.81716746, 68.23529, -0.010583285, 0.7395833, 0.9928176, 0.98570156, 0.9786515, 0.97166634, 0.96474564, -0.01776024, -0.023416886, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 1, 0.5906593, 0.4965358, 0.5395232, 0.7163465, 0.64005107, 0.73020923, 0.7264881, 65.88235, 0.0035176028, 0.8125, 0.9915574, 0.98319584, 0.97491443, 0.9667121, 0.9585884, -0.019835645, -0.021165105, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 2, 0.42857143, 0.36720553, 0.3955224, 0.53751147, 0.6794385, 0.6995878, 0.7560858, 60.000004, -6.928995E-4, 0.7916667, 0.9913868, 0.9828599, 0.97441804, 0.9660607, 0.95778656, -0.018601583, -0.022183836, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 3, 0.51862466, 0.41801387, 0.4629156, 0.6153296, 0.7024171, 0.74492455, 0.7710558, 67.05882, -0.0015664488, 0.7916667, 0.99162716, 0.98334014, 0.9751383, 0.9670204, 0.9589855, -0.018820563, -0.022610469, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 1, 0.46052632, 0.48498845, 0.47244093, 0.5469665, 0.717615, 0.75146204, 0.7699529, 63.529408, -0.003643252, 0.8020833, 0.9930652, 0.9861937, 0.97938544, 0.9726395, 0.96595514, -0.01811073, -0.02259426, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 2, 0.5078125, 0.4503464, 0.47735617, 0.633681, 0.6922037, 0.601972, 0.7885503, 65.88235, -0.013947196, 0.7083333, 0.9921153, 0.98430634, 0.97657233, 0.96891266, 0.9613265, -0.017980604, -0.022434065, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 3, 0.56296295, 0.5265589, 0.54415274, 0.68436265, 0.78367347, 0.68783367, 0.85048187, 71.76471, -0.014395543, 0.7916667, 0.99198014, 0.98403984, 0.97617817, 0.96839446, 0.96068764, -0.01776614, -0.022374816, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 1, 0.46052632, 0.48498845, 0.47244093, 0.5469665, 0.71761495, 0.75146204, 0.7699529, 63.529408, -0.01106112, 0.8020833, 0.99302536, 0.9861149, 0.97926766, 0.9724833, 0.965761, -0.0176068, -0.022048965, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 2, 0.52227724, 0.48729792, 0.5041816, 0.59096545, 0.6611409, 0.7335073, 0.72030324, 68.23529, -0.008631102, 0.7395833, 0.9210221, 0.91354704, 0.90614516, 0.8988156, 0.8915579, -0.017482944, -0.022183262, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 3, 0.51842105, 0.45496535, 0.48462483, 0.62675464, 0.731767, 0.5878653, 0.80281216, 68.23529, -0.0015745132, 0.84375, 0.99218184, 0.9844385, 0.9767691, 0.9691726, 0.96164864, -0.017988317, -0.022075672, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 1, 0.5755814, 0.45727482, 0.5096525, 0.6756301, 0.6063905, 0.6776534, 0.6866814, 65.88235, -0.0070830896, 0.8229167, 0.9908047, 0.98170716, 0.97270685, 0.963802, 0.95499194, -0.022358846, -0.022306962, 0, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 2, 0.5222552, 0.4064665, 0.45714286, 0.6179527, 0.69740665, 0.70869714, 0.7678238, 67.05882, -0.016112937, 0.7291667, 0.991211, 0.98251474, 0.97391033, 0.9653966, 0.9569724, -0.020930048, -0.024390882, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 3, 0.46614584, 0.41339493, 0.4381885, 0.5640194, 0.7538705, 0.69157696, 0.814309, 64.70589, -0.018326873, 0.6770833, 0.9919263, 0.98393565, 0.976027, 0.96819943, 0.96045196, -0.020298947, -0.02580629, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 1, 0.5449591, 0.46189377, 0.5, 0.60649407, 0.6329182, 0.70993185, 0.70112836, 63.529408, -0.003774795, 0.7395833, 0.99164563, 0.98337686, 0.9751927, 0.96709234, 0.95907456, -0.020651912, -0.022560805, 0, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 2, 0.36997885, 0.40415704, 0.38631347, 0.45930257, 0.7126531, 0.6931201, 0.7838464, 58.823524, -0.027726969, 0.625, 0.992277, 0.98463297, 0.97706735, 0.96957874, 0.9621666, -0.018208873, -0.02460436, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 3, 0.49473685, 0.54272515, 0.51762116, 0.612983, 0.7653742, 0.7158202, 0.82971096, 67.05882, -0.02212681, 0.6979167, 0.99295896, 0.9859859, 0.97908056, 0.9722417, 0.9654686, -0.018367853, -0.025415983, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 1, 0.52645504, 0.4595843, 0.49075216, 0.60427696, 0.6542267, 0.7312145, 0.71136576, 65.88235, 0.002884813, 0.8229167, 0.99249834, 0.9850668, 0.97770447, 0.9704111, 0.9631857, -0.020242328, -0.022555446, 0, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 2, 0.4457547, 0.4364896, 0.44107348, 0.5233885, 0.74361986, 0.6294261, 0.8074711, 65.88235, -0.026027516, 0.6770833, 0.9922918, 0.9846608, 0.9771063, 0.96962726, 0.96222275, -0.017933946, -0.02367646, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 3, 0.45925927, 0.4295612, 0.4439141, 0.5372429, 0.75391155, 0.6593742, 0.81289685, 67.05882, -0.011179018, 0.7916667, 0.99278635, 0.9856413, 0.9785641, 0.97155416, 0.9646107, -0.018479308, -0.024288306, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 1, 0.5772595, 0.45727482, 0.5103093, 0.6756561, 0.63053507, 0.7201704, 0.69942015, 65.88235, -0.0010766702, 0.8125, 0.991283, 0.9826536, 0.97411096, 0.96565396, 0.9572817, -0.021352012, -0.022156905, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 2, 0.43678162, 0.35103926, 0.38924456, 0.5543584, 0.64790255, 0.69169486, 0.7343136, 58.823524, -0.016594391, 0.71875, 0.99095863, 0.98201424, 0.97316533, 0.9644111, 0.9557501, -0.019610522, -0.023144476, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 3, 0.43734014, 0.39491916, 0.4150485, 0.5283463, 0.7276946, 0.65839875, 0.7917574, 63.529408, -0.0121282255, 0.625, 0.99178344, 0.98364884, 0.9755948, 0.96762073, 0.95972556, -0.019190015, -0.024383042, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 1, 0.49118388, 0.4503464, 0.4698795, 0.5753569, 0.6305489, 0.69373983, 0.6952937, 62.352943, -0.002687969, 0.78125, 0.99234444, 0.9847647, 0.97725993, 0.9698291, 0.96247184, -0.019639315, -0.022549903, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 2, 0.5344828, 0.4295612, 0.47631243, 0.652778, 0.6900511, 0.66168404, 0.78241295, 68.23529, -0.02180481, 0.6979167, 0.991496, 0.98307985, 0.9747504, 0.96650714, 0.9583488, -0.018661855, -0.022756092, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 3, 0.4945055, 0.5196305, 0.5067568, 0.6106232, 0.7644041, 0.62571394, 0.82976073, 67.05882, -0.017643664, 0.8020833, 0.99245733, 0.98498684, 0.97758764, 0.9702589, 0.9630002, -0.018012207, -0.023956614, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 1, 0.53543305, 0.47113165, 0.5012285, 0.6126422, 0.6695328, 0.74822134, 0.7266719, 67.05882, 0.0025054642, 0.8333333, 0.99271643, 0.9854988, 0.9783463, 0.97125834, 0.9642342, -0.019650409, -0.022175798, 0, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 2, 0.4457547, 0.4364896, 0.44107348, 0.5233885, 0.74361986, 0.6294261, 0.8074711, 65.88235, -0.027166048, 0.6770833, 0.9922662, 0.98460954, 0.97702926, 0.96952426, 0.96209383, -0.017365074, -0.02305461, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 3, 0.48329622, 0.5011547, 0.4920635, 0.5950263, 0.7493971, 0.6262469, 0.8277727, 64.70589, -0.014909126, 0.84375, 0.9928209, 0.9857133, 0.978676, 0.9717087, 0.9648101, -0.017453259, -0.024223046, 2, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 1, 0.61230767, 0.4595843, 0.52506596, 0.71512824, 0.6670634, 0.76776415, 0.7604639, 68.23529, -0.0026335937, 0.8020833, 0.99149936, 0.9830837, 0.974752, 0.96650326, 0.95833683, -0.020725796, -0.021415042, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 2, 0.43665767, 0.37413394, 0.40298504, 0.55009013, 0.68083906, 0.70084095, 0.75756973, 60.000004, -0.0077440045, 0.7916667, 0.99149495, 0.9830755, 0.9747407, 0.9664896, 0.9583212, -0.018748794, -0.022604236, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 3, 0.44383562, 0.37413394, 0.40601504, 0.5436076, 0.6811218, 0.65660256, 0.7622385, 62.352943, -0.012763839, 0.7291667, 0.9914031, 0.9828926, 0.9744678, 0.9661277, 0.95787114, -0.018931076, -0.0227962, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 1, 0.5929919, 0.50808316, 0.5472637, 0.6891287, 0.67692745, 0.7132621, 0.7446145, 69.411766, 0.004081502, 0.8229167, 0.9926134, 0.9852935, 0.97803974, 0.97085154, 0.96372837, -0.019951776, -0.022080125, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 2, 0.58981234, 0.50808316, 0.5459057, 0.6907956, 0.71691674, 0.67149097, 0.80452687, 70.588234, -0.010662093, 0.7916667, 0.9922734, 0.9846212, 0.9770432, 0.9695382, 0.96210575, -0.019115103, -0.022386057, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 3, 0.48820755, 0.47806004, 0.4830805, 0.6128149, 0.73550814, 0.6352259, 0.8131064, 65.88235, -0.021337667, 0.7395833, 0.9918317, 0.98374563, 0.97574097, 0.9678169, 0.9599723, -0.017612409, -0.022551928, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 2, CosineDistance, 1, 0.5744125, 0.50808316, 0.53921574, 0.6675372, 0.6718503, 0.7132621, 0.73848706, 69.411766, 0.0040413314, 0.8333333, 0.99276644, 0.98559725, 0.9784916, 0.97144884, 0.9644685, -0.019282017, -0.021749726, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 2, CosineDistance, 2, 0.5169903, 0.49191687, 0.504142, 0.6262137, 0.7408163, 0.65394706, 0.8239228, 69.411766, -0.021606006, 0.7395833, 0.99270386, 0.98547614, 0.97831625, 0.97122335, 0.9641968, -0.017878253, -0.022707026, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 2, CosineDistance, 3, 0.5167959, 0.46189377, 0.48780486, 0.62316996, 0.7449337, 0.6235795, 0.825731, 69.411766, -0.010811482, 0.8333333, 0.9921851, 0.98444515, 0.9767796, 0.9691873, 0.96166766, -0.018001538, -0.022269165, 1, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 0, 0, CosineDistance, 1, 0.5478261, 0.4364896, 0.48586118, 0.6268117, 0.5797413, 0.6078199, 0.6499428, 61.176468, -0.0043669213, 0.875, 0.9905019, 0.981105, 0.9718084, 0.96261066, 0.95351106, -0.023244604, -0.02260504, 1, 
