Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 0.65921533, 0.42543796, 0.5171334, 0.82163155, 0.42886302, 0.42920715, 0.67849666, 59.625668, -0.0046931137, 0.93147206, 0.4821521, 0.23661835, 0.11889096, 0.061630942, 0.033252876, -0.25514248, -0.23146749, 1113, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 2, 0.5555005, 0.33004564, 0.41407332, 0.7644241, 0.41898772, 0.39765662, 0.6547051, 53.743317, -0.004811682, 0.9390863, 0.45927036, 0.22184503, 0.1097179, 0.055981718, 0.029724427, -0.25217682, -0.23975359, 842, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 3, 0.6345616, 0.3675843, 0.46551082, 0.8080184, 0.44107005, 0.47898567, 0.68063235, 58.823524, -0.004803904, 0.92639595, 0.47419617, 0.23883589, 0.12475111, 0.06821198, 0.03934488, -0.24697275, -0.2661966, 1397, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 1, 0.51400405, 0.33770058, 0.40760487, 0.7277994, 0.40492344, 0.43233004, 0.6301778, 49.46524, -0.006074279, 0.9010152, 0.46067533, 0.22257072, 0.10940857, 0.05487339, 0.02816412, -0.21654344, -0.24240707, 942, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 2, 0.54130536, 0.349183, 0.42451903, 0.7340442, 0.37031993, 0.4223608, 0.5932186, 51.069523, -0.0060072956, 0.9086294, 0.44514835, 0.21617597, 0.10776839, 0.055546213, 0.029828705, -0.21897127, -0.26394847, 933, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 3, 0.5513691, 0.34682763, 0.4258088, 0.7597183, 0.39685866, 0.42756763, 0.61273646, 52.673794, -0.006530055, 0.9187817, 0.4616347, 0.22458705, 0.112049825, 0.057720333, 0.030930249, -0.22001274, -0.24238768, 1049, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5467512, 0.35551304, 0.43086532, 0.7372559, 0.46041626, 0.4470003, 0.6845315, 53.743317, -0.008024755, 0.93401015, 0.49865168, 0.25656536, 0.13711378, 0.07651802, 0.044709004, -0.21569692, -0.2572728, 1045, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 2, 0.6035297, 0.35742676, 0.44896448, 0.7744495, 0.3606341, 0.37483063, 0.60059583, 54.54545, -0.0077443365, 0.96192896, 0.4587864, 0.21871229, 0.10485177, 0.050552264, 0.024512297, -0.22931127, -0.24113454, 1046, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 3, 0.4772595, 0.24098337, 0.32025823, 0.68992484, 0.3506233, 0.34480706, 0.57639515, 49.73262, -0.009806389, 0.9467005, 0.45890307, 0.2193239, 0.10568554, 0.051363617, 0.0251843, -0.21023689, -0.23858581, 1394, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 1, 0.6320918, 0.42970705, 0.51161164, 0.80360603, 0.41077477, 0.4517685, 0.65031356, 56.95187, -0.0043632057, 0.93654823, 0.46404305, 0.22710583, 0.11418456, 0.059463914, 0.03236572, -0.24231258, -0.24955001, 813, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 2, 0.56795084, 0.3537465, 0.4359579, 0.79054224, 0.3776663, 0.42224288, 0.6411147, 53.208553, -0.00937514, 0.93654823, 0.47682494, 0.2348247, 0.12066251, 0.06536749, 0.03762756, -0.22491556, -0.21256901, 697, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 3, 0.5961155, 0.3524216, 0.4429642, 0.7474488, 0.41126347, 0.40243152, 0.6418075, 57.48663, -0.0052565546, 0.94162434, 0.46569696, 0.2281303, 0.114511944, 0.059403967, 0.032161437, -0.24435024, -0.25232616, 814, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 1, 0.6316133, 0.42705727, 0.5095732, 0.804518, 0.45924383, 0.502178, 0.68278605, 59.09091, -0.006624783, 0.9441624, 0.47127452, 0.23322071, 0.1178222, 0.061102003, 0.032725904, -0.22729062, -0.26436, 814, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 2, 0.53281856, 0.28441042, 0.37086093, 0.76107836, 0.43256003, 0.41038194, 0.65586513, 54.54545, -0.0046148836, 0.9390863, 0.478712, 0.2453351, 0.13140832, 0.074114844, 0.04418511, -0.23180102, -0.27148527, 1508, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 3, 0.49501836, 0.27793318, 0.35599136, 0.7069206, 0.40737915, 0.40525907, 0.6169589, 51.87166, -0.005266804, 0.9390863, 0.45602772, 0.21861233, 0.10722414, 0.0541967, 0.028460963, -0.20934789, -0.23082449, 930, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 1, 0.47961453, 0.2857353, 0.35811806, 0.71617466, 0.4424544, 0.3997005, 0.6468849, 54.812836, -0.006472899, 0.9010152, 0.48006722, 0.23439682, 0.116776295, 0.05958765, 0.0312704, -0.19827, -0.22503687, 700, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 2, 0.540072, 0.35315767, 0.42705828, 0.7498135, 0.42507777, 0.42652392, 0.63779044, 52.941177, -0.0055377884, 0.88832486, 0.47915956, 0.23398143, 0.1168239, 0.05985616, 0.03158707, -0.21019366, -0.22360426, 1047, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 3, 0.47815105, 0.2786692, 0.35212052, 0.69850206, 0.41314796, 0.36998096, 0.6441809, 53.47594, -0.008534988, 0.93147206, 0.47737134, 0.23150018, 0.1144379, 0.057906177, 0.030134277, -0.20086563, -0.21989453, 929, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 1, 0.6228013, 0.4221993, 0.5032462, 0.7905101, 0.38852763, 0.37801987, 0.64281565, 54.010696, -0.007284439, 0.9441624, 0.49357668, 0.25403413, 0.13785173, 0.079567656, 0.049010128, -0.233109, -0.2444117, 698, 
