Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 0.53528684, 0.62652916 (8), 0.2902841, 0.38451347 (8), 0.3758859, 0.4765554 (8), 0.74440134, 0.8028552 (1), 0.40041652, 0.4736929 (5), 0.393226, 0.43956032 (3), 0.64433616, 0.7030893 (5), 54.732616, 58.288773 (5), -0.008341613, -0.005799039 (5), 0.94365484, 0.98730963 (9), 0.47260135, 0.49240077 (7), 0.23121747, 0.24863446 (7), 0.11576842, 0.12942725 (7), 0.0596736, 0.06982425 (7), 0.031880304, 0.03921078 (7), -0.23033051, -0.20276935 (7), -0.23517787, -0.1959802 (6), 11532, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 0.5236598, 0.5962264 (3), 0.2836155, 0.36979243 (9), 0.367398, 0.45090646 (9), 0.72863084, 0.7933355 (3), 0.40018806, 0.47330025 (6), 0.38778418, 0.46131864 (6), 0.6363105, 0.69864863 (6), 54.358288, 58.556152 (10), -0.008545995, -0.006030624 (1), 0.9423857, 0.9593909 (6), 0.47130838, 0.4987244 (10), 0.23302686, 0.26687306 (10), 0.118595496, 0.14974661 (10), 0.06272338, 0.08895628 (10), 0.034865774, 0.056323256 (10), -0.2231865, -0.19764718 (2), -0.24863024, -0.21568088 (2), 10309, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 0.5038682, 0.64190686 (10), 0.2700427, 0.426174 (10), 0.35078347, 0.51225334 (10), 0.72245586, 0.8041125 (10), 0.39931005, 0.46928686 (1), 0.3604315, 0.43170798 (9), 0.63612795, 0.68055356 (10), 53.181816, 58.823524 (6), -0.008321511, -0.005433177 (6), 0.95152295, 0.9593909 (1), 0.47509798, 0.49064025 (6), 0.23270598, 0.24992548 (6), 0.116474904, 0.13418335 (6), 0.059894055, 0.07717178 (6), 0.031850003, 0.048115745 (6), -0.2153224, -0.19398512 (2), -0.23481563, -0.21478118 (10), 10800, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 0.5283362, 0.6168925 (8), 0.2812307, 0.37523922 (8), 0.36620688, 0.46663615 (8), 0.7455815, 0.7876663 (8), 0.4203698, 0.46693555 (5), 0.4065234, 0.4452532 (9), 0.6521216, 0.7095354 (5), 55.5615, 59.09091 (5), -0.0072998926, -0.0049388628 (1), 0.94086295, 0.9593909 (8), 0.48932227, 0.51649594 (7), 0.24816883, 0.28265244 (7), 0.13142195, 0.16565898 (7), 0.073551565, 0.10444447 (7), 0.04398817, 0.07056376 (7), -0.23057464, -0.21450114 (6), -0.24295278, -0.22433814 (2), 10493, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 10, 0.5134177, 0.5804989 (7), 0.27247167, 0.3391727 (7), 0.35562664, 0.42817324 (7), 0.7143072, 0.7603461 (5), 0.40146342, 0.48762634 (2), 0.38407937, 0.459136 (5), 0.6324061, 0.6849095 (2), 55.401073, 60.96257 (5), -0.0084431395, -0.0056083114 (5), 0.9456852, 0.9670051 (4), 0.48009163, 0.49950385 (4), 0.23677126, 0.25885326 (4), 0.11981879, 0.14095068 (4), 0.06262694, 0.08173937 (4), 0.034057792, 0.051004387 (4), -0.21791263, -0.17584267 (2), -0.23305646, -0.19836728 (1), 10357, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 10, 0.500703, 0.59173125 (4), 0.2876932, 0.40453407 (4), 0.36410052, 0.4805456 (4), 0.7111785, 0.75630015 (4), 0.385839, 0.42869294 (9), 0.37714067, 0.40596905 (8), 0.61323154, 0.6407711 (3), 52.78075, 55.3476 (7), -0.008455457, -0.005275498 (1), 0.943401, 0.97461927 (9), 0.46627703, 0.4879921 (2), 0.22677305, 0.24518715 (2), 0.112452604, 0.12793504 (2), 0.057092078, 0.06994244 (2), 0.029816601, 0.040349767 (2), -0.21139717, -0.19648598 (8), -0.24036273, -0.22387975 (3), 10746, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 10, 0.551067, 0.6184878 (3), 0.30253202, 0.3949654 (3), 0.39012453, 0.48207706 (3), 0.7624778, 0.80707705 (3), 0.4179533, 0.49941665 (3), 0.3802567, 0.49736434 (10), 0.6530446, 0.71263313 (3), 55.721924, 57.75401 (1), -0.0077219396, -0.0045886044 (7), 0.9360407, 0.9568528 (4), 0.47893128, 0.5111814 (7), 0.23711435, 0.27231652 (7), 0.120992064, 0.15230791 (7), 0.064137295, 0.08985339 (7), 0.035605855, 0.05592798 (7), -0.22586647, -0.20079796 (5), -0.2367241, -0.2018526 (9), 11382, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 10, 0.50367224, 0.5700732 (4), 0.25245106, 0.31031945 (8), 0.33597395, 0.40125933 (4), 0.727193, 0.77979344 (4), 0.42038995, 0.47425482 (1), 0.40216488, 0.44969645 (10), 0.6438725, 0.69179463 (1), 54.78609, 57.219254 (8), -0.009301712, -0.0060766633 (8), 0.943401, 0.9670051 (9), 0.48165193, 0.507644 (1), 0.23947036, 0.2666846 (1), 0.12238063, 0.1458442 (1), 0.06470603, 0.08341233 (1), 0.03564375, 0.050543036 (4), -0.22032006, -0.20736413 (3), -0.24162412, -0.21207593 (10), 11279, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 10, 0.46365064, 0.525878 (3), 0.22552626, 0.2627705 (4), 0.30316287, 0.3400737 (3), 0.69441247, 0.73961484 (7), 0.41347513, 0.5015812 (7), 0.3559842, 0.43829307 (7), 0.63731533, 0.72361565 (5), 52.59358, 58.02139 (3), -0.009629611, -0.0067192866 (3), 0.94949245, 0.9670051 (7), 0.48032457, 0.49708498 (5), 0.23563094, 0.2537986 (5), 0.11824997, 0.13905044 (4), 0.06111772, 0.08297674 (4), 0.03282459, 0.054518063 (4), -0.21142378, -0.19846879 (5), -0.22879831, -0.20164011 (1), 10571, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 10, 0.526368, 0.6129337 (6), 0.32295007, 0.42779332 (9), 0.39977443, 0.50198656 (9), 0.7502709, 0.812112 (6), 0.40188232, 0.45993847 (3), 0.4151279, 0.4608126 (8), 0.6390887, 0.6650092 (8), 53.85027, 57.75401 (2), -0.010705133, -0.0067475736 (10), 0.9253806, 0.9390863 (10), 0.49499235, 0.51465654 (6), 0.25992677, 0.27463058 (10), 0.14041904, 0.15504077 (10), 0.078521416, 0.09217044 (10), 0.04572956, 0.058160964 (10), -0.21218307, -0.17490315 (4), -0.25070804, -0.21864179 (3), 11099, 
